stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle
  3-4,41.13,641.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.63,0,0,0,0,0
  5-6,0,206.38,0,0,0,0,0,0,0,0,0,0,0,28.37,0,0,0,0,0,0,0,0,0
  7-9,0,4.75,15.13,0,0,0,4.51,0,0,0,0,0,0,45.06,0,0,14.83,0,16.34,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,44.66,0,0,3.87,0,0,0,0,0,0
 14-21,0,0,0,3.62,0,0,0,0,0,0,2.11,0,0,3.62,0,0,0,0,0,0.82,0.81,2.62,0
 24-34,0,0,0,0,2.27,0,0,0,0,0,0,0,0,3.31,0.97,1.32,0,0,0,3.78,0,3.91,0
 36-46,0,0,0,0,2.95,0.85,0,0,0,0.66,0.58,0,0.56,6.27,0.93,0,0,0,0,0.81,0,2.9,0
 48-58,0,0,0,0,4.62,0.44,0,0,0,0,0.43,0,0,7.86,0.97,0,0,0,0,9.46,0,3.06,0
 60-70,0,0,0,0,1.71,5.32,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,1.95,0
 72-82,0,0,0,0,0.8,1.56,0,0,0.63,0,0,2.6,0,5.15,1.64,0,0,0,0,0,0,0.89,0
 84-94,0,0,0,0,0.6,1.81,0,0.93,0,0,1.86,0,0,2.28,0.69,2.86,0,2.64,0,2.1,0,1.08,0
 96-106,0,0,0,0.76,1.34,4.4,0,2.68,0.58,0,0,0,0,4.85,1.09,0.76,0,0,0,1.53,0,5.47,0
108-118,0,0,0,0,2.41,0,0,0.65,2.72,0,0,4.28,0,0,0.83,1.3,0,0,0,0.64,0,0,0
120,0,0,0,2.91,2.05,10.41,0,0,1.74,0,0,0,0,3.22,10.48,0,0,0,0,4.05,0,0,1.52
