stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,29.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.98,0,0,3.72,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,201.05,11.3,0,0,112.9,0,0,0,0,0,0,0,0,0
 10-12,0,15.81,0,13.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.52,9.24,0,0,251.91,0,0,24.22,0,4.33,0,0,0,0
 14-21,0,0,1.11,0,5.44,0.96,0,1.67,0,0,5.85,1.73,0,0,0,0,0,0,0,0,5.75,109.39,5.81,0.84,0,32.58,0,9.06,0,3.8,146.65,0,0,0,0
 24-34,0,0,0,0,1.73,0,0,7.22,0,0,1.5,0,0,0,0,0,0,0.97,1.03,0,0,299.44,4.32,3.57,0,0,0,0,0,2.12,153.24,0,0,1.69,0
 36-46,0,0,0,0,2.72,0,0,24.35,0,0,13.34,0,0,0,0,0,0,0.59,0,0,0,578.86,2.13,1.51,0,0,0,0,0,0,227.22,0,0,0,0
 48-58,0,0,0,0,5.22,1.65,0,103.5,0,1.29,13.11,0,0,0,0,0,0.8,4.99,0,0,6.73,655,2.54,3.79,0,0,3.55,0,0,0,157.22,0,0,0,0
 60-70,0,0,1.8,0,0,0,0,172.75,0,2.43,15.37,0,0,0,0,0,0,14.92,0,0,0,777.36,0,0,0,0,0,0,0,0,117.33,0,0,9.05,0
 72-82,0,0,4.41,0,4.14,0,0,141.25,0,1.76,31.61,0,0,0,0,0,0,18.68,0,0,2.97,812.55,0,2.28,0,0,1.4,0,0,0,93.21,0,0,0,0
 84-94,0,0,0,0,1.3,0,0,118.62,0.68,2.1,12.82,0,0,0,0,0.83,0,23.77,0,1,0,543.59,0,0,0,0,0,0,0,0,64.28,0,2.41,0,0
 96-106,0,0,0,0,1.45,0,0,93.27,0,4.95,32.84,0,0,0,0.84,0,0,11.19,0,0,0.76,489.56,0,2.74,2.88,0,0.83,0,0,0,62.91,0,0,2.19,0.8
108-118,0,0,0,0,2.07,0,2.73,105.06,0,1.18,26.52,1.06,0,0,0,0,0,21.33,0,4.41,0,601.07,0,1.44,0,0,0,0,0,0,34,0.43,0,15.04,0.6
120,0,0,0,0,9.79,0,0,140.43,0,0,9.48,0,0,4.09,0,0,1.79,14.93,0,0,0,939.39,0,2.49,1.28,0,0,0,1.83,0,29.39,0,0,7.03,0
