stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,247.93,2905.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.54,0,0,0,0,0,0,0,0,0
  5-6,327.05,5939.73,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,156.85,8.7,0,0,66.08,82.99,0,0,0,0,0,0,0,0,0
  7-9,60.49,95,192.9,0,5.98,311.4,0,0,0,0,95.16,0,0,0,0,0,0,0,0,0,3285.77,62.81,0,0,1223.32,0,21.58,0,0,0,0,0,0,0,0
 10-12,0,82.09,158.18,0,33.83,239.97,0,0,0,0,15.72,0,0,0,0,0,0,0,0,0,2263.19,29.61,0,0,737.39,0,24.61,4.61,131.72,0,0,0,0,0,0
 14-21,0,0,0,17.83,1.85,8.58,0,0,7.76,1,0,0,0,0,0,0,0,23.81,0,15.2,305.59,4.02,2.53,1.06,2.27,0,0,25.77,0.96,9.09,81.48,0,1.77,0,0
 24-34,0,0,1.1,17.65,2.36,131.13,0,0.63,21.64,1.16,0,0,0,0,0,2.42,0.61,114.81,0,27.27,1278.33,4.76,5.14,8.52,0,15.62,0,0,0,1.59,262,0,11.29,0,8.24
 36-46,0,0,0,25.38,15.69,407.56,5.62,0,32.59,0,0,0,0,0,2.98,0,0.57,63.28,1.94,17.22,998.48,8.37,7.05,4.06,0,8,0,0,0,0,184.51,0,10.81,0.78,0
 48-58,0,0,0,26.07,6.64,612.42,0,0.46,61.32,1.74,0,0,1.21,0,11.78,0.82,1.34,102.35,2.25,32.5,568.25,3.12,0,8.17,0,10.98,0,0,0,0,70.48,0,8.58,0,2.74
 60-70,0,0,0,24.72,4.66,428.61,0,0,39.56,0.95,0,0,4.63,5.42,3.7,5.1,4.54,157.35,15.84,7.93,331.1,0,0,5.58,0,8.17,0,0,1.87,0,5.51,0,6.18,0,0
 72-82,0,0,0,12.98,0,113.57,0,0.59,13.02,1.38,0,0,5.6,0,0,0,0,65.31,1.92,10.81,169.83,5.61,1.42,1.53,0,0,0,0,0.75,0,2.49,0,7.5,0,0
 84-94,0,0,0,3.06,0.56,88.11,1.16,0,10.67,4.54,0,1.81,6.05,1.63,1.45,0.63,3.89,48.34,7.02,11.9,120.76,1.8,0,3.55,0,1.16,0,0,0.56,0,0,1.17,13.53,0,0
 96-106,0,0,0,9.5,0,52.82,0,0,11,0.68,0,2.1,2.17,1.06,0.92,0,0,20.55,0,0,72.17,0,0,1.47,0,1.46,0,0,1.33,0,0,0,2.13,0,0
108-118,0,0,0,5.78,7.36,56.28,0,0,13.59,0.95,0,0,4.53,0,0,0,3.88,19.29,2.35,7.13,102.57,2.09,0.77,2.25,0,0.52,0,0,0.76,0,0.89,0,4.12,0,0
120,0,0,0,3.06,5.72,56.74,0,0,30.83,0,0,1.15,12.2,1.36,0,0,2.32,21.91,0,7.31,154.93,0,5.4,0,0,1.36,0,0,0,0,3.82,0,17.82,0,0
