stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,93.2,48.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.72,0,0,0
  5-6,30,266.27,9.08,0,0,0,0,0,0,0,0,0,0,0,36.11,0,8.65,6.32,0,0,0
  7-9,0,11.35,26.57,0,64.63,0,0,46.83,0,0,0,0,0,0,743.74,0,88.13,0,0,0,0
 10-12,0,11.47,25.24,0,30.88,0,0,0,0,0,0,0,0,0,129.4,0,10.48,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,4.16,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,6.58,0,0,0,0,0,0
 36-46,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,2.45,0,0,0,1.86,0,0
 48-58,0,0,0,0,2.45,0.88,0,0,0,13.3,0,0,1.1,0.44,7.26,0,0,1.06,1.97,1.1,0
 60-70,0,0,0,0,9.09,7.84,0,0,0,0,1.49,0,0,0.6,15.48,1.47,0,0,3.28,0,0
 72-82,0,0,0,0,0.77,0.83,0.53,0,0,0,0,1.26,1.86,0,7.99,0,0,0,0,0,0
 84-94,0,0,0,0,6.63,2.24,0.64,0,0,0.93,0.88,0,0,0,13.83,0,0,0,0,1.55,4.41
 96-106,0,0,0,0,3.13,2.08,0,0,0.56,0,0,0.95,0,0,3.16,0,0,1.62,0,0,0
108-118,0,0,0,0.42,3.08,0.63,0,0,0,1.34,0,4.41,0,0,9.28,0,0,0,0,0,0
120,0,0,0,0,7.11,8.36,0,0,0,0,0,0,3.24,0,27.88,12.05,0,0,0,0,0
