stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,89.33,1298.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.69,0,0,0,0,0,0,0,0,0,0
  5-6,38.7,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,0,0,0,0,0,21.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,49.44,0,15.35,0,0,0,92.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691.08,39.28,0,0,316.75,0,4.34,24.35,0,0,0,0,0,0,0,0,0
 10-12,0,22.99,0,43.56,0,0,0,103.69,0,0,0,0,0,26.1,0,0,0,0,0,0,0,0,0,0,0,1286.26,22.19,0,0,381.96,0,3.1,5.95,0,82.37,0,0,0,0,0,0,0
 14-21,0,0,1.41,14.12,130.4,24.38,0,37.65,0,0,0,46.69,8.64,2.32,9.7,0,4.84,0,0.84,18.55,0,60.86,6.31,0,7.78,631.3,19.88,1.36,11.84,33.08,0,113.58,4.89,2.92,48.18,7.25,299.85,0,0,1.18,0,2.52
 24-34,0,0,0,5.25,47.76,0.6,0,107.43,0,0,1.26,54.06,5.9,0,19.37,0,1.66,0,1.59,31,1.29,37.91,2.41,1.71,9.79,1148.05,5.54,13.26,12.32,0,2.13,95.62,0,0,45.84,4.76,326.07,0,0,6.64,0,22.6
 36-46,0,0,0.98,0.96,24.12,0,0,219.07,0,3.75,2.07,105.3,1.16,0,16.81,0.64,1.54,3.69,5.52,13.85,0,42.49,1.01,3.71,2.87,786.87,3.69,18.23,8.45,0,0,129.03,0,0,22.51,0,228.77,0,0,0.65,0,57.85
 48-58,0,0,0.46,0,22.03,0,0,274.21,0,0,0,140.38,8.96,4.13,6.91,0,0,2.3,1.5,8.52,0,19.66,3.28,6.27,1.88,312.42,0,8.43,7.78,0,1.44,43.29,0,0,22.14,0,193.74,0,0,0.87,0,26.11
 60-70,0,0,0.62,0,13.53,0,0,324.44,0.76,0,1.18,133.41,7.55,5.17,1.83,0,0,11.62,4.41,18.96,0,35.53,2.94,5.36,1.58,176.12,1.36,12.24,19.69,0,1.53,62.07,0,0,19.84,0,78.83,0,0,1.05,0,59.24
 72-82,0,0,2.51,0,21.97,0.55,1.65,181.61,0.55,1.78,0,161.52,27.32,2.52,4.91,0.71,2.75,17.98,9.1,24.64,0,83.52,5.5,15.25,2.2,127.34,0,3.92,17.28,0,9.9,25.23,0,0,15.56,0,21.42,0.8,1.07,1.12,2.07,46.56
 84-94,0,0,3.96,1.04,39.45,0,0,198.23,0,2.17,1.55,102.52,17.58,7.54,3.06,0,2.84,19.91,23.56,27.01,9.11,49.57,10.82,16.41,0,93.14,0,7.28,13.54,0,0,97.87,0,0,39.54,0,33.56,0,5.23,2.92,0,23.66
 96-106,0,0,2.08,1.03,34.5,3.36,0.98,188.71,0,2.96,1.65,141.2,35.64,0,9.23,0,1.52,19.49,26.89,19.34,0,24.99,5.48,7.62,2.38,99.63,1.43,13.23,33.94,0,0,84,0,0,42.77,0,17.28,0,1.73,10.32,1.15,19.05
108-118,0,0,3.05,0.44,51.72,1.72,5.8,192.4,0,5.74,3.33,212,27.92,0,2.18,0.63,4.88,45.29,18.73,37.7,0,59.26,4.03,10.45,4.46,121.73,0,6.41,19.68,0,8.47,56.21,0,0,36.02,0,18.09,0.46,9.91,1.39,0.94,41.58
120,0,0,0,0,42.68,0,0,133.61,0,0,0,275.47,24.31,0,3.96,1.01,1.05,37.01,18.61,11.67,0,27.49,5.12,30.48,1.82,163.5,0,19.8,27.56,0,17.54,27.74,0,0,30.65,0,13.13,0,0,0,0,17.19
