stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.43,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,0,0,0,0,0.91,1.76,0,0,0,0,0,0,0
 24-34,0,0,8.45,0,0,0,0,0,1.02,0.67,11.2,0,0,0,0,0,0.85,0,0,0.78,9.9,0.67,1.03,1.17,0,0,2.79,0,0,0,0.69,0,0,1.9,0,0
 36-46,0,0,0,0,1.44,1.5,0,0,0,1.71,19.53,0,0,0,0,0.66,0,0,0,1.59,15.55,0,0,0,0,0,1.21,1.71,0,0.94,0.59,0,0,0,0,2.08
 48-58,0,0,3.76,0,0.94,0,0,0,0,0,27.14,0,0,0,0,1.4,3.57,0,0,0.6,8.87,5.11,1.15,0,0,0,4.62,0,0,0,0,0,0,2.55,0,6.6
 60-70,0,0,7.57,0,0,8.93,0,2.24,4.55,0,32.69,1.3,0,0,0,0,13.25,0,0,0,11.08,0,0.62,0,0,0,12.68,0,0,0,1.75,0,0,0.71,0,2.73
 72-82,0,0.78,1.63,3.49,6.51,0,0,0,0,0,50.89,0.52,3.21,0.76,0,0,10.35,2.14,2.6,0,5.57,0,0,0,0,3.01,8.98,0,0,0,6.04,0,0,6.44,0.69,1.18
 84-94,0,0,3.78,2.27,0,1.83,0,0,1.55,0,80.92,2.23,0.7,2.64,0.57,1.74,28.39,0,3.18,0,15.09,1.53,2.15,0,0,0.79,21.45,0,0,2.39,0,5.26,0,7.9,0,2.28
 96-106,0,0,15.51,3.5,9.2,1.25,0,0,3.6,0,100.07,0.86,1.2,0,4.1,1.39,20.02,0.81,4.09,3.07,21.19,0,1.92,0,0,4.63,33.15,0,0,0,0,1.4,0,13.07,3.39,0.83
108-118,0,0,18.6,2.74,3.58,7.34,3.28,8.17,5.68,0,98.23,6.03,1.8,2.21,2.45,2.85,48.85,1.01,4.85,4.01,28.24,0.59,0.51,2.32,0,3.92,48.55,0,0,0.42,0,6.69,0.41,3.67,0.6,5.45
120,0,0,16.23,0,0,5.65,0,0,0,0,114.93,6.04,0,0,0,0,60.93,19.01,8.3,0,12.11,0,1.91,0,0,0,53.46,0,0,0,1.75,0,7.48,6.74,0,9.68
