stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,16.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.66,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0.93,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.38,0,2.04,0.56,0,0,0,0,0,1.39,0,4.25,0.57,0,2.49,0,0,0,0
 60-70,0,0,0,0,1.13,0,0,0.96,0.73,0,0,0,0.59,2.88,1.6,1.56,0,0,3.41,0,0,0,0.94
 72-82,0,0,0,0,0,0,0.57,3.5,0,0,0,4.33,0,1.1,0,2.97,0,0,0.52,0,0,1.01,0
 84-94,0,0,0,0.6,0,0,0,6.2,0.62,0,0,0,0,0.59,0,6.19,0,0,0,0.73,0,0,1.37
 96-106,0,1.08,0,7.47,4.3,0,0,25.5,9.61,0,3,8.41,0,2.85,0,9.4,0,0,0,0,5.77,0,0.72
108-118,0,0,2.22,8.2,0,4.91,0,33.08,17,0.74,0,7,0,0,0,5.46,0.48,0,0,0.41,0,0,2.7
120,0,0,0,2.91,9.55,0,0,84.43,25.25,0,0,7.68,0,2.5,3.18,7.39,0,0,0,0,0,0,0
