stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,28.68,50.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.6,0,0,5.07,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.89,0,0.86,0,0,0,0,0,0,0,0.83,0,0,6.78,0,0,9.56,0.9,1.04,0,0.81,0,0,0,0
 24-34,0,0,0,0,0,3.19,0,0,0,0,0,1.31,0,8.88,0,0.65,24.06,0,0,3.64,0,0,0,0,0,0,0,1.71
 36-46,0,0,0,10.07,0,0,0,1.95,0,0,0,3.25,0,11.54,0,0,12.11,0,0,12.74,0,0,0,0,0,0,0,1.01
 48-58,0,0,0,3.34,0,1.78,0,0.74,0,0.57,0,2.4,0,5.32,0,1.15,8.6,0.57,0,0,0,0,0,0,0.78,0,0,0
 60-70,0,0,0,0,0,16.49,0,0,0,0,0,7.71,0,6,0,0,2.57,0,0,2.31,0,0,0,0,1.74,0,0,0
 72-82,0,0,0,0,0,6.25,0,0,0,0,0,6.06,0,6.78,6.94,0,32.7,0,0,2.57,0,0,0,0,1.03,0,0,0
 84-94,0,0,0,1.31,0,0,0,0,0,0,1.31,23.23,0,1.61,0,3.01,13.05,0,0,2.62,0,0,0,0,2.72,2.75,0,0.83
 96-106,0,0,0,0.6,0,0,0,2.49,1.13,0,0,12.33,2.03,0.8,0,0,14.67,0.59,0.93,9.73,0,0,0,0,0,0,0.62,0
108-118,0,0,0,1.18,0,4.94,0.54,1.08,0,0,0,9.52,0,6.48,0,0,17.28,4.73,0,1.69,0,0,1.06,0,0,0.83,0,0
120,0,0,0,1.33,7.77,0,1.41,0,0,0,0,12.59,1.25,0,0,2.36,13.76,5,0,0,0,0,0,0,0,0,0,0
