stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,94.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.98,0,0,0,0,0,0,0,9.97,0,4.88,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,38.67,0,0,0,0,0,0,0,0,0
 14-21,0,0.85,0,0,0,0,1.29,0,0,0.88,0,2.4,11.65,0,0,0,1,1,0,2.68,0.99,0
 24-34,0,0,0,0,0.69,0,0.65,0,0,1.5,0,0,10.89,0,0,0,0,0,0,0,4.22,0
 36-46,0,0,0,0,0,0,2.62,0,0,0,0,0,18.9,0,0,1.94,0,0.82,0,0,7.32,0
 48-58,0,0,0,0,18.18,0,1.94,0,0,2.35,0,0.97,16.99,0,0,0.43,0,0,1.19,0,0.45,0.66
 60-70,0,4.21,0,0,14.81,1.85,0,0,0,2.1,0,0.82,18.73,1.73,0,0,0,0,0,0,3.06,0
 72-82,0,0.49,0.91,0,13.51,0,0.58,0,0,3.51,0,0,27.48,0,0,0,0,0,0,0,2.43,3.07
 84-94,0,2.99,0,0,9.48,0,4.99,2.81,0.58,15.96,1.14,0.55,11.01,0,0,1.14,0,0,0,0,4.16,0
 96-106,0,0,0,0,15.2,0,1.33,0,0,1.66,0,0,18.24,0.92,0,1.31,0,0,0,0,0,3.19
108-118,0,0,0,0,13.7,0,1.72,0,0.63,3.97,0,0,40.4,2.06,0,1.87,0,0,0,0,0,0.71
120,0,2.05,0,2.02,0,0,3.44,0,0,3.16,0,0,4.77,0,0,3.19,0,0,0,0,0,17.64
