stage,endoderm,epidermis,eye,gut,immune,mesenchyme,mural.cell,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0
  7-9,5.44,0,0,0,0,0,0,0,0,0,8.12,0,0,0
 10-12,0,0,4.79,0,0,0,0,20.82,0,4.8,16.21,0,0,0
 14-21,0,0,0,0,0,0,0,0.87,0,0,50.26,1.95,0,0
 24-34,0,1.24,0,0,0,0,0,5.23,0,0,29.29,0,1.16,1.14
 36-46,0,16.18,0,0,0,0,0,2.02,3.82,0,18.79,0,0,0
 48-58,0,1.86,0,0.38,0,0,0,0,0.51,0,7.45,0,0,0
 60-70,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0
 84-94,3.08,0,0,0,0,3.39,0,0,0.73,0,0,0,0,0
 96-106,0,0,0,0,1.35,0,0,0,2.08,0,0,0,0,0
108-118,4.65,0,0,0,0,0,2.34,2.24,3.54,0,0,0,0,0
120,1.28,0,0,0,6.25,0,0,0,5.39,0,0,0,0,0
