stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,spinal.cord
  5-6,30.54,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.62,0,0,0,0,0,14.37,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.01,0
 14-21,0,0,0,0,0,0,0,0,0,1.75,0,0,0
 24-34,0,0,0,0.84,0,0,0,0,0.62,2.27,0,0,2.55
 36-46,0,0,0,1.27,0,0,0,0,0,1.8,0,0,0
 48-58,0,0,0,2.87,0.82,0.97,0.39,0.54,0,5.94,0,0,2.36
 60-70,0,0,0,39.42,0,0,1.27,0,2.02,7.99,0,0,0
 72-82,0,0,1.91,77.45,0,0,1.63,0,0,28.91,0,0,0
 84-94,0,0.81,0,73.46,0,0.93,0,0,0,2.86,0,0,0
 96-106,0,0,0,133.56,0,2.14,0,0,0,19.92,0,0,0
108-118,0,0,1.65,145.26,0,0,0,0,0,33.68,1.41,0,0
120,0,0,0,387.14,0,0,4.33,0,0,23.37,0,0,0
