stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,242.08,8.89,0,22.42,0,0,0,0,1,0,0,0,6.96,0,0.93,0,1.08,30.46,1.49,0,14.95,147.52,0,0,2.36,0,74.57,44.33,0,3.89,12.98,0,0,21.34,0,0
 24-34,0,0,0.6,268.67,0.95,0,36.4,0,1.98,0,14.88,0,0,6.2,0,11.34,0,6.45,10.46,0,73.79,15.31,0,11.11,213.88,19.01,3.16,7.64,0,189.77,31.55,0,0,46.66,0,0,172.28,0,1.71
 36-46,0,0,0,125.14,0,0,23.65,0,6.93,0,8.74,0,4.4,4.5,0,8.94,0,7.91,0,0,101.91,2.42,0,8.96,358.68,18.59,0.75,4.8,2.1,188.59,10.54,1.69,0,57.28,0,0,113.23,0,0
 48-58,0,0,0,120.75,0,0,59.56,0,3.45,1.63,20.35,0,0.56,8.51,0,6.03,0,2.1,1.52,0,289.14,3.6,1.15,12.59,361.98,24.13,1.35,2.29,0,100.73,6.66,0,0,26.99,0,0,88.1,0,1.82
 60-70,0,0,2.79,110.12,0,0,53.84,0,19.31,13.4,32.95,1.6,1.86,9.56,0,10.28,1.16,1.97,0,0,394.33,0,3.47,21.33,556.68,22.56,0.89,3.89,6.2,113.02,10.7,0,0,35.55,0,4.42,71.32,0,0
 72-82,0,0,0.56,47.93,12.25,0,94,0,5.06,11.89,47.95,0.67,1.09,3.81,0,6.65,0,0.74,1.36,0,421.04,0.79,2.63,18.05,807.3,4.94,3.73,7.02,0,68.87,5.58,0,0,55.66,1.21,2.34,103.58,5.56,0
 84-94,0.62,1.05,0,90.39,2.99,0,87.66,0,3.33,9.06,36.17,2.09,0.66,0,0,17.15,0.63,1.34,0,0,480.4,3.51,7.3,7.34,423.11,6.36,8.44,9.52,0,160.91,8.67,0,0,53.68,0,7.94,152.4,4.52,0
 96-106,0,0,0,54.61,0,0,87.13,0.71,1.8,4.01,37.2,2.09,0,3.16,0,11.4,0,4.36,7.38,0,364.62,1.46,2.29,9.13,517.79,1.32,3.71,9.26,2.14,126.56,5.52,0,0,50.84,0.71,5.19,97.92,2.59,8.86
108-118,0,0,0,88.49,0.6,0.44,73.8,2.45,4.81,10.44,37.99,3.55,0,7.43,3.84,17.83,0.44,3.4,3.92,0,383.57,11.73,2.32,6.19,529.8,4.31,0.85,19.77,5.92,88.54,8.61,0,0,30.42,0,7.39,89.44,5.09,0.83
120,0,0,4.41,150.28,0,0,114.31,0,6.45,7.67,36.31,15.47,0,4.12,5.67,9.47,0,4.93,0,0,698.52,14.91,7.16,1.03,1512.43,3.13,15.5,16.83,18.42,87.26,20.84,0,0,23.57,1.1,3.8,116.43,0,0
