stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.54,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,14.52,0,3.23,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.15,0,0,0,0,0,0,0,0,0,35.14,0,0,0,1.25,0,0,0,0,0,1.91,3.11,4.31,0,0,0,0
 24-34,0,0.74,0,0,0,0.72,0,0,0,0,0,0,31.77,1.01,0,9.88,15.4,0,0,0,0,0,0,6.92,1.57,0,0,0,0
 36-46,0,0,0,0,0,0,2.48,0.6,1.39,0,0,0,0.67,0,0,0,18.73,0,0,0,0.57,0,0,1.38,3.4,0,0,0,0
 48-58,0,0,0,0,0,1.87,3.32,0,0.58,0,0,0.65,1.47,0.94,4.24,0,11.72,0,0,0,0,0,1.88,0,1.26,0,0.91,0,0
 60-70,0,0,4.96,0,0.67,1,0.58,0,3.21,0,0,0,4.86,0.66,0,1.43,18.58,0,0,0,0,0,4.85,0,1.72,0,0,0,0
 72-82,0,0,0,0,5.56,0,0,1.24,3.62,0,0,0,14.13,0,0,0,12.12,0,0,0,0,0,3.63,0,0,0,0,0,0
 84-94,0,0,0,0,12.89,6.67,11.18,6.71,4.18,0,0,0,21.99,2.86,4.3,0,10.61,0,0,0,0,0.76,2.17,0,0,0,0,0,6.22
 96-106,0,0,0,2.39,58.31,16.51,0.57,1.27,5.38,0,1.14,0,33.07,4.13,0,4.66,21.02,0,0,0,0,1.94,2.09,0,0,0,0,0,0
108-118,0,0,3.67,0.66,186.13,11.7,4.09,9.04,6.43,0.51,0,0,46.54,7.05,0,4.84,11.37,0,0.75,0,0.5,0,6.28,0,0,0.54,0,1.09,0
120,0,0,0,0,35.87,7.95,0,4.18,6.39,0,0,0,29.01,1.4,0,19.31,6.98,2.98,0,0,0,0,8.43,0,0,0,0,0,0
