stage,blastomeres,erythrocytes,mesenchyme,neural,paraxial_mesoderm
  3-4,43.93,0,0,0,0
  7-9,0,0,0,0,4.79
 10-12,0,0,0,10.8,7.43
 72-82,0,0,1.56,1.29,0
108-118,0,0.79,0,2.92,0
