stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99,0,0,0,6,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,0,0,0,8.54,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.01,0,7.2,0,1,0,0,0,6.61,0,1,0,0,0,0,0,0,8.08,0,9.58,55.38,0,0,0,6.01,0,0,11.41,0,0,4.46,22.17,0,0,0
 24-34,0,0,3.23,2.25,0,3.18,0,0.68,0,1.87,0.92,0,0,0,0,1.57,0,0,16.2,0,3.29,91.13,0,5.69,0.74,0,0,0.83,0,0,0.78,1.95,10.04,1.49,0,0
 36-46,0,0,0,0,0,14.59,0,0,0,2.94,0,0,0,0,0,0,0,0,4.37,0,2.84,62.4,0,0,0,0,0,4.18,0.86,0,0,0,16.78,0,0,0
 48-58,0,0,0,4.85,0,27.55,0.82,0,0,2.78,0,0,0,0,0,0,0,1.61,12.96,0,0,72.1,0,1.75,0.44,0,0,1.16,0,0.56,0,2.82,8.65,0,0,0
 60-70,0,0,0,0,0,21.05,0,0,0,1.47,0,0,0,0,0.56,0,0,0,8.03,0,1.48,31.8,0,0,0,0,0,0.64,0,0,0,0,12.94,4.2,0,2.21
 72-82,0,0,0,2.3,0,26.82,0,0,0,7.59,1.62,0,0,0.72,0,0,0,0,12.54,0.54,1.46,36.84,0,0,0,0,0,2.7,0,0,0,0,8.17,0,0.57,0
 84-94,0,0,0,0,1.28,13.15,0,0,0,8.35,4.68,0,0,0,0,0,1.05,0,6.68,0,0,18.94,2.04,0,0,0,0,0,0,0,0,0,3.34,3.56,0,0.7
 96-106,0,3.4,0,0.94,0.98,19.81,0,0,2.1,7.34,7.69,0,0,0,0,0,0,0,3.76,0,1.55,27.52,0.81,0,0.77,0,0,0.77,0,0,0,0,4.87,0,0,0
108-118,0,1.11,0,0,0,16.73,0,0.71,1.39,8.57,8.8,0,0.52,0.52,0,1.68,0,0,5.28,0,0.5,35.91,0,0.54,0,0,3.76,1.43,0,0,0,0,0,0,0,0
120,0,0,0,0,0,10.84,0,0,0,6.8,5.66,0,0,0,0,0,0,0,6.2,0,0,23.07,0,3.63,0,0,0,1.85,0,0,0,0,0,0,0,0
