stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,15.32,121.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,95.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,4.18,3.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,5.97,0,0,3.4,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,9.91
 24-34,0,0,0,0,0,0,0,3.18,1.61,0,0,0,0,1.38,3.38,0,0,4.57,0,1.72,0,0,1.43,0,0,0,0,7.84,134.91
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0.76,11.03,0,0,0.59,0,0.67,0,0,0,0,0,305.34
 48-58,0,0,0,0,0,0,0,6.22,0,5.15,0,0,0,13.48,8.35,0,0,17.05,0,0,0.84,0,0,0,0,2.86,0,0.41,636.2
 60-70,0,0,0.89,0,0,0,0,12.55,0,0,0,0,8.99,7.38,0.93,0,0,15.23,0,0,0.91,0,0,0,0,0,0,0,393.25
 72-82,0,0,0,0,1.43,0.63,0,20.11,0,1.31,1.97,0,0,60.42,3.22,0,0.53,24.91,0,0,0,0,1.81,0.77,0,2.86,0,0,226.46
 84-94,0,0,0,0,0.61,0,0,9.16,0,1.51,3.22,0,2.36,192.19,9.37,0,0,25.3,0,0,0,0,3.15,2.21,0,0,0,4.94,230.77
 96-106,0,0,0,0,1.62,10.93,1.05,23.77,0,7.9,24.7,1.61,0,463.32,11.45,0,0.8,35.34,0,0,0,0,3.13,1.49,0.74,3.8,0,5.76,150.05
108-118,0,0,3.13,0,1.79,0,7.06,23.12,1.74,8.52,36.04,0,2.11,1087.87,11.67,1.95,0.48,78.85,0,1.09,2.3,0,6.34,0,0,3.99,0.69,2.91,183.34
120,0,0,0,0,3.24,0,0,45.89,2.35,0,57.61,0,0,575.85,6.54,0,0,80.31,0,5.49,2.43,0,1.33,1.62,0,0,0,0,75.99
