stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0
 24-34,0,0,12.32,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,146.76,0,1.1,0,0,4.75,0,5.97,0,2.12,0,0,0.76,0,0,0
 48-58,4.24,0,416.44,0,1.04,0,0,1.2,0,7.68,0,0,0,2.29,0,0,0,1.43
 60-70,0,0,1188.01,0,0.88,0,0,13.85,0,33.23,0,0,0,0,4.4,0,0,0
 72-82,0,0,1179.36,5.14,10.28,0,5.43,7.45,0,11.89,0,0,0.56,0.75,0,2.49,1.91,6.55
 84-94,0,0,986.54,0,6.22,0,2.2,0,0,12.34,0.62,0,0.92,0,0,0,0,0
 96-106,0,0,283.05,0,1.29,0,0,6.2,0,4.77,0,0,0,0,0,0,0,0
108-118,0,2.59,418.37,0,0,1.35,0,2.67,0.51,19.96,0,0.46,0.67,1.59,0,0,0,0
120,0,0,364.32,0,0,0,0,9.33,0,12.38,0,0,0,0,0,0,0,0
