stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,100.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,0,11.41,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.19,0,0,0,9.02,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.36,1.07,0,0,0,0,0,1.09,0,1.45,0,0,0,0,0,0,0,0,3.3,1.48,0,0,0,0,1.47,0,0.93,0,0,3.64,0,0,0,0,0
 24-34,0,0,0,16.36,1.37,0,4.81,0.68,100.63,0,0.65,0,0,0,0,0,0,0,8.15,0,0.74,13.16,0,1.8,0,0,0,0,0,0,0,0,3.28,4.3,0,0,0,0
 36-46,0,0,0,2.04,0,0,0.88,0,189.78,1.26,0.77,0,0,0,5.08,0,0,13.9,5.05,0,0.58,38.11,0,0,0,0,0,0,0,0,0,4.75,0,1.71,0,0,0,0
 48-58,0,0,0,6,0,0,2.92,0.99,112.27,0,0.87,0,0,0,0,7.28,0,0,2.16,0,0.49,42.01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
 60-70,0,0,0,0,0,0,8.72,0,165.79,0.84,36.82,3.52,0,0.63,6.93,0,0,0,13.24,1.19,1.14,18.08,0,0,0,0,0,0,0,0,0,0,0,2.39,0,0,0,0
 72-82,0,0,0,0,0,0,4.32,0,129.79,0,4.35,9.83,0.51,0,118.93,0,0,0,5.95,0,0,18.52,0,0,0,0,0,4.59,0,0,0,0,0,0,0.62,1.19,1.42,0.84
 84-94,0,0,0,2.83,1.61,0,1.99,0,284.51,0.75,6.98,48.31,0,2.72,140.49,0,0,1.19,7.96,7.42,2.56,26.15,0,0,0,0,0,2.27,0,0,1.52,0,0,0,0.63,0,0,0.72
 96-106,0,0.61,0,0,0,0,7.55,0,164.4,0,1.15,168.27,0,2.16,101.9,0,0,0,8.57,0,0,20.09,0,0,0,0,0,1.85,0,0,0.89,0.6,0,0.64,0,0,1.83,0
108-118,0,0,0,0.59,1.34,0,12.24,0,136.72,0,4.21,19.06,0,2.89,433.54,1.25,0.5,0,22.9,0,1.1,33.4,0,0.54,0,0,0,1.57,0,0,0,0,0,0,0,0,6.08,0
120,0,0,0,23.81,0,1.09,3.24,1.18,69.63,0,19.23,2.43,0,7.29,502.93,0,0,0,37.96,0,7.37,42,0,0,2,0,9.57,30.86,0,0,0,0,0,1.19,0,0,4.37,0
