stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,21.16,912.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0,0,0,0,0,0,0,0,0
  5-6,200.68,3195.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,27.47,0,13.95,0,0,0,0,0,0,0,0,0
  7-9,11.67,67.87,103.69,0,0,230.37,0,0,0,0,0,60.48,0,0,0,0,0,0,0,0,0,0,3361.3,8.08,0,0,784.72,0,0,10.8,0,0,0,0,0,0,0,0
 10-12,0,30.79,51.15,0,4.67,125.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883.63,0,0,0,353.63,0,0,19.77,0,28.14,0,0,0,0,0,0
 14-21,0,0,4.64,20.84,6.38,11.32,0,0,0,4.5,3.07,0,0,0,0,0,0,0,14.28,0,0,8.48,266.84,0.86,0,2.8,8.9,0,17.75,0,23.71,1.37,0,10.08,65.59,0,0.82,0
 24-34,0,0.83,0,5.42,1.23,72.23,0,0,1.26,4.15,0,0,0,0,1.75,0.7,0,1.37,39.49,0,0.91,15.6,407.48,2.09,0.73,7.7,0,0,11.37,0,0,1.93,0,0,47.74,0,4.76,0
 36-46,0,0,0,19.89,2.15,152.26,0,0,0.79,6.32,0.62,0,1.58,7.87,0,0,0,0,47.22,0,0.86,15,362.02,0,1.87,19.31,0,0,6.08,0,0,0,0,0,59.46,0,2.04,0
 48-58,0,0,0,15.75,3.82,119.64,0.58,0,0.48,15.99,0.39,0,0,0,4.54,0,1.05,0,45.25,1.67,9.26,18.11,204.26,0.66,3.55,7.76,0,0,8.88,0,0,0,0,0,15.9,0,2.13,0
 60-70,0,0,0,16.94,0,115.18,0,0,3.06,40.75,0,0,0.66,0,0,0,0,0,26.82,0,1.9,6.4,110.38,0,0,0,0,0,1.13,0,0,0,0,0,0.63,0,14.73,0
 72-82,0,0,0,6.32,0,17.97,0,0.53,1.32,9.59,0,0,2.09,0,0,0,0,0,39.03,0,2.73,2.76,64.91,3.31,0,0.86,0,0,7.17,0,0,0,3.45,0,5.96,1.7,0.7,0
 84-94,0,0,0,9.19,1.59,33.64,0.67,2.31,1.93,19.51,0.58,0,4.3,0.56,0,2.32,0.78,0,43.22,0,0,6.61,65.4,0,1.04,1.04,3.85,0.57,2.67,0,0,0,0,0,0,0.81,7.74,0
 96-106,0,0,0,1.3,6.16,15.32,0,6.32,0,10.82,2.08,0,0,1.36,0,0,0,0,17.19,0,1.06,0.99,22.05,0,0,1.18,0,0,3.78,0,0,0,0,0,0.58,0,26.71,0
108-118,0,0,0,10.2,1.46,33.97,0,1.9,1.36,36.68,4,0,1.34,1.14,1.5,0.44,0,0,28.1,0,0,6.11,99.03,0.61,0,6.53,0,0,0.9,0,0,0,0,0,0,0.51,8.6,4.62
120,0,0,0,8.09,5.16,17.04,0,0,2.89,61.81,0,0,0,8.95,0,23.4,0,0,13.9,0,1.38,5.64,83.02,0,0,5.44,0,0,0,0,0,0,0,0,0,0,3.66,0
