stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,40.11,4640.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.76,0,0,0,0,0,0,0,0,0,0
  5-6,42.71,671.95,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0,0,101.91,0,0,0,8.05,0,23.73,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.21,0,0,0,0,0,10.87,0,0,0,0,59.28,0,0,0,0,0,0,0,0,0,0,0,45.06,16.95,0,0,16.72,0,0,60.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,147.95,0,24.33,0,0,0,0,0,0,332.86,0,0,0,0,0,0,0,0,0,0,0,710.04,42.5,0,0,161.2,0,0,21.92,0,38.46,0,0,0,0,0,0,0
 14-21,0,0,0,3.38,186.51,26.11,0,6.32,0.87,0,0,20.11,20.06,2.92,0,0,0,0,3.03,0,75.05,0,0,93.15,122.38,1.18,0,0,4.35,0,0,0,6.32,5.86,21.47,29.95,0,0,10.73,0,0
 24-34,0,0,2.92,8.71,171.28,1.49,0,32.5,0.71,4.26,3.39,7.63,0,5.38,0,0.61,0.79,0.65,6.77,0,85.74,0.69,2.34,32.41,64.24,1.83,2.22,1.75,0,0,0,0,0,7,7.79,26.11,0,0,39.86,0,0
 36-46,0,0,0.94,0.96,67.93,0.81,0,27.22,4.43,2.91,1.26,4.09,0.76,10.23,0,3.08,0,1.25,2.89,0,124.18,0,2.74,34.87,53.1,1.94,4.24,1.91,0,1.69,0,0,0,5.26,0,22.15,0,2.21,46.48,0,0
 48-58,0,0,0,0,56.49,0,0,19.36,3.65,30.13,5.71,3.79,3.14,7.82,0,0,0.86,1.37,11.7,2.71,126.84,0,2.72,41.04,73.68,2.98,1.62,2.66,0,0,0,0,0,1.9,0,15.13,0,0,32.27,0,11.25
 60-70,0,0,0.57,0,75.6,3.84,0,38.87,17.26,35.74,11.4,8.1,1.77,7.08,0,0,0,1.79,13.71,0,156.54,0,8.27,15.1,119.7,0.68,0.89,2.15,0,1.45,0,0,0,0,0,31.74,1.22,3.56,22.03,0,0
 72-82,0,0,1.06,0,76.91,0,1.63,21.98,2.75,61.05,20.97,8.01,1.17,14.04,0.61,2.1,12.3,1.62,2.14,0,192.25,0.58,7.83,25.26,74.51,0.73,0.76,5.77,0,2.81,0,0,0,2.77,0,25.33,0,2.21,36.49,0.79,1.14
 84-94,0,0,1.29,1.69,152.72,0,1.23,52.8,29.51,41.69,27.15,20.99,0,9.03,0,2.7,0.66,0.63,4.11,0,148.11,0,20.64,17.95,61.57,0.66,1.48,1.42,0,0.79,1.28,0,0,1.35,0,15.73,2.77,2.67,26.17,4.1,0.88
 96-106,0,0,1.95,0,146.79,3.66,4.49,53.92,11.56,54.64,22.48,14.21,0,2.35,0.94,1.38,0,0,3.14,0,206.37,3.88,26.4,14.13,76.1,4.71,8.35,4.43,0,1.44,0,0,0,2.26,0,3.25,0,6.94,37.38,1.57,0
108-118,0,0,1.03,0.65,138.97,0.55,14.58,91.67,12.7,43.63,20.09,24.81,0,2.47,0.56,3.93,1.79,0,1.94,0,156.36,1.15,4.54,16.79,63.4,1.31,0.57,5.85,0,6.92,1.97,0,0,1.88,0,9.25,0.52,2.2,22.03,1.96,0
120,0,0,0,0,140.8,0,3.65,51.32,5.5,70.03,23.2,4.28,0,6.58,0,3.1,4.22,0,6.54,0,139.43,0,21.91,10.29,34.16,5.31,1.15,1.51,0,4.55,5.04,0,0,4.58,0,1.34,0,5.4,29.09,3.14,0
