stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37,0,8.81,0,0,0,0,0,0,0,0,0,0
  7-9,5.92,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,40.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.63,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.35,0,0,0,16.05,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.86,1.7,10.89,0,2.14,0,0,0,3.3,0.99,0,0,0,1.08,0,0,0,0,5.5,0,0,7.08,59.2,4.34,0.93,0,1.81,0,4.31,3.28,0.91,0,18.77,33.27,0,0,0.84,0,0
 24-34,0,0.75,0,1.36,2.2,0,18.38,0,0,0,1.72,0.77,0,1.47,0,1.25,0,0,0,0,14.19,0,0,5.12,235.28,3.2,0.62,5.45,0,0,20.4,0,0.6,0.78,2.29,65.75,0,0,2.34,0,0
 36-46,0,1.35,0,3.39,0,0,38.26,0,1.05,0,7.41,0,0,2.97,0,0,0,0,4.53,0,20.73,0,0,4.37,322.2,0,3,1.76,0,0,35.95,0,0,3.87,0,68.01,0,0,3.24,0,0
 48-58,0,0,0,5.51,0.81,0,88.73,0.58,0.46,1.14,27.98,0,0,0,0,0,2.19,0,0,0,36.56,0.5,1.03,2.4,288.07,1.92,1.34,3.16,0,0,7.1,0,1.42,0,0,58.94,0,0,4.93,0,0
 60-70,0,0.62,0,9.75,7.39,0,130.9,0,0,1.64,19.19,0,0,0.75,4.48,0,5.9,0,1.32,1.56,53.32,2.63,0,2.46,237.72,3.27,0,21.89,0,0,19.47,0,2.07,0,0,62.86,0,1.84,2.77,0,0
 72-82,0,1.15,0,5.11,128.95,0,163.68,0,0,6.39,23.94,0.99,0,2.04,2.58,0.7,0,3.13,0,0,54.12,1.87,1.76,1.08,246.25,0,3,3.57,0,0,7.57,0,0.76,0,0,40.18,1.21,3.14,11.55,5.53,0
 84-94,0,0,0,11.17,72.31,0,96.7,0,0,1.2,42.14,8.56,0,1.01,5.07,1.8,0,4.82,0.58,0,40.5,3.69,2.81,1.76,188.78,3.2,2.51,2.64,0,1.4,45.19,0,7.42,0,0,8.01,2.5,0,1.5,1.56,0
 96-106,0,0,0,1.93,227.78,0.77,181.33,0,0,1.88,49.74,2.01,0,0.96,4.24,0.68,0.71,1.33,15.42,0.71,49.78,9.23,1.9,2.57,145.89,0.77,3.23,4.32,0,7.68,35.29,0,0,0,0,10.14,0.59,1.53,12.37,6.62,5.14
108-118,0,2.69,0,23.66,75.83,12.26,153.56,2,4.74,0.77,40.47,8.42,0,4.38,12.63,4.33,3.39,0,1.34,0,57.12,2.57,5.72,7.96,290.85,0.98,0.64,7.18,0,7.06,27.18,0,3.41,0.95,0,11.63,4.38,0,22.71,4.58,3.8
120,0,0,0,43.12,66.02,11.76,177.44,0,2.43,0,43.29,0,0,1.85,0,1.06,1.43,1.54,5.29,0,84.66,1.46,10.71,5.56,264.98,22.66,2.2,6.01,0,0,29.21,0,5.61,0,0,10.16,0,5.4,23.08,4.32,0
