stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23,0,0,0,17.62,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.16,0,0,0,0,0,0,0,0,0.94,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,1.69,0,3.33,0,0,0,0,0,0,0.92,2.21,0,2,17.83,0,0.68,0,0,0,0.92,0,0.64,4.89,0,3.49,0,0
 36-46,0,0,1.6,0,0.75,0,0,0,0,0,8.41,0,0,11.29,0,0,0,0,0,0,0,0,3.29,0,1.51,0,0.65
 48-58,0.37,0,2.88,0,0,7.72,0,0,0,0.59,4.55,0.99,0,11.42,0,0,0,0,0,0,0,0,5.68,0,0.41,0,2.63
 60-70,0,0,3.26,0,0,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0.6,0,0,0
 72-82,0.55,0,24.24,0,0,7.78,0,0,0,6.03,9.27,0,0,19.04,0,0,0.9,0,0,0,0,0,3.94,1.01,4.11,0,0
 84-94,0.56,4.58,7.16,0,0,9.75,2.95,0.74,0,0,11.48,4.53,4.76,13.26,0,0.66,0,0,0,1.34,0,0,0,0,4.71,0,5.4
 96-106,0,5.1,32.37,0,0,7.49,0,0,0,4.07,13.95,0,0,28.33,0,0,0,0,3.48,0,0.82,0,0,0.96,2.63,0,11.05
108-118,2.45,0,6.69,0.47,0,3.74,2.41,2.01,0,1.7,7.74,0.46,1.33,15.9,0.41,1.82,0.73,0,0,0,0,0,0,0,0.42,0,0.63
120,0,0,11.17,0,0,17.45,1.69,0,1.48,0,8.06,0,0,24.56,0,1.7,0,0,0,0,0,0,0,0,1.66,8.56,0
