stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,somites,spinal.cord,xanthophores
  3-4,0,114.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.83,224.5,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0
  7-9,0,0,17.35,0,0,0,0,0,0,15.2,0,0,236.16,12.52,345.49,0,0,0,0,0,0
 10-12,0,4.52,12.28,0,0,0,0,0,0,0,0,0,97.59,16.43,189.37,0,0,11.08,0,0,0
 14-21,0,0,0,0.86,0,0,0,0,1.09,0,0,0,0,0,2.23,0,3.39,0,2.3,6.91,0
 24-34,0,0,0,0,1.39,0,0,0,0,0,2.4,0.6,8.21,0,0,0,0,0,1.42,13.41,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,5.96,0,0,0,0,0,0,23.57,0
 48-58,0,0,0,0,0,0,0,14.57,0,0,0,0,0,0,0,0,0,0,0,11.95,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,10.14,0,0,0,0,0,0,4.65,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.97,0,7.21,0,0,2.36,0,0,0,0,1.53
 84-94,0,0,0,0,0,0.66,0,0,0,0,0,0,3.14,0,0,0,0,0,0,1.52,0
 96-106,0,0,0,0,0,0,0,0.6,0,0,2.56,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.92,0,0.8,0,0,0,0,0,6.46,0,0,0,0,0,0,0,0
