stage,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord
 14-21,0,0.85,0,0,0,0,0,0,0,0,0,1.85,0,0.89,0,0,0,0,2.3,1.2
 24-34,0,0,0,0.61,0,0,0,0,0,0,0,1.36,1.1,21.71,0,0,0,0,0.97,2.51
 36-46,0,0,0,3.83,1.81,0,0,0,0.93,0,0,4.16,0,4.62,0,0,0,0,0.87,0.76
 48-58,0,0,0,1.89,0,0.51,0,3.28,0,0.45,0,0.65,0,14.02,0,0.44,0,0,1.61,1.48
 60-70,0,0,0,3.99,0.64,1.06,0,0,0,0,0,0,0.8,21.11,0,0,0,0,11.08,0.89
 72-82,0,0,0,0,0,9.39,0,0,0,0,0,0.72,0,17.88,0,0,0,0,0,3.38
 84-94,0.66,0,0,0,1.17,1.93,0,0.7,0,0,0,0,0.83,3.12,0.7,0,0.72,0,2.57,0
 96-106,0,0,1.85,4.01,0,0,0,0,0.86,0,0,0,0,14.14,0,0,0,0,0,0
108-118,0,0,0,7.29,0,0,0.77,0,0,0,0.52,1.49,0,8.45,0,0,0.55,5.22,0.82,0
120,0,0,0,0,0,0,1.08,0,1.25,0,0,0,0,45.5,0,0,0,0,0,2.5
