stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.38,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,11.89,0,0,0,0,0
 24-34,0,1.17,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0.63,0,0,0,476.82,0,0.77,0,0,0,1.93,0,0,82.16,0,0,0,0,0
 36-46,0,0,0,0,25.27,0,0.64,0,0,0,0,0.73,0,0,0,0,0,0.95,0,0,0,1724.04,0,1.78,0,0,0,0,0,0,196.7,0,0,0,0,0
 48-58,0,1.92,0,0,189.85,1.63,0,0.86,20.65,0,0.69,0,0,2.58,0,0,7.64,3.33,0,0,4.48,3032.73,0,4.49,0,0,0,2.06,0,0,310.61,0,0.42,0,0,0
 60-70,0,4.4,0,0,805.49,0,0,1.48,43.6,0,0.59,0,0,5.65,0,1.41,0,14.77,2.63,0,8.86,4517.7,0,2.91,0.86,0,0,0,4.15,0,524.12,0,0,7.56,0,16.73
 72-82,0,16.23,15.08,0,1467.02,1.43,0.58,17.52,41.97,0,0.66,1.18,0,5.43,0,1.35,0,25.83,0,1.23,1.22,5003.8,1.23,14.38,1.09,0,2.36,4.7,0,0,379.45,0,0,0,0,13.8
 84-94,0,26.53,8.08,0,1209.72,0.64,0,0,52.8,0,0,1.99,0,2.72,0,0,0,38.54,0,9.02,2.09,3594.89,0,13.34,0.6,0,0,1.09,0,0,265.73,1.01,3.73,0.91,1.59,0
 96-106,0,21.98,12.74,0,1525.71,0,1,9.63,63.15,0,1.6,1.94,1.23,1.52,0,20.44,3.42,22.19,0,0,0,3113.03,4.8,17.47,2,0,0,2.19,0,0,118.59,4.07,0,8.69,0,10.69
108-118,0,23.42,1.41,0,1225.25,0,0,0,31.61,0.71,0,0.44,0,0,1.77,0.56,0,10.15,0,1.9,0.88,3562.59,0,11.86,2.92,0,0,7.67,0,0.42,114.33,2.12,2.41,3.2,1.11,4.22
120,1.28,24.24,1.09,13,962.34,0,4.39,0,106.63,0,0,0,0,6.44,0,1.23,0,78.61,0,2.35,9.37,6099.54,0,49.33,3.1,0,0,6.86,0,3.26,173.53,0,19.72,2.09,0,0
