stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.33,0,0,5.73,0,0,0,0,0,0,0,0,0
 14-21,0,1.03,0,0,0,0,0,2.29,0,0,0,0,1.12,0,4.49,39.93,0,1.15,0,0,1.32,1.02,0,3.01,20.13,0,1.05,0
 24-34,0,2.98,0,7.36,0.74,3.99,0,0,0.69,0,0,0,2.73,0,4.68,288.09,0,0,0,0,0.73,0,0,0,41.15,0,16.76,0
 36-46,0,0,0,19.05,0,9.58,0,0,0,0,0,0,4.94,0,0.8,360.3,1.67,0.81,0,0,0,0,0,0,64.46,0,2.65,0
 48-58,0,0,0,36.24,0,12.4,0,0,0.45,0.39,0,0,13.49,0,2.73,169.76,0,3.2,0,0,0,0,2.44,0,59.46,0,1.47,0
 60-70,0,1.07,0,12.17,0,5.09,0,0,0.78,0.59,0,4.52,21.73,0,0,60.35,0,0.86,0,0,0,0,0,0,9.08,0.94,2.69,0
 72-82,0,0,0,10.24,0,2.42,0,0,0,0.85,0.69,0,43.82,0,2.3,48.53,0,0,0,0,0,0,0,0,2.85,0,4.49,0
 84-94,0,0.7,0,10.58,0,5.49,0,0,0,2.29,0,0,20.49,0,4.67,10.33,0,0,0,0,0,0,0,0,1.18,0,2.9,0
 96-106,0,0,0,8.19,0,0,0,0,0,0,0,0,16.95,0,0,12.95,0,0,0,1.3,0,0,0,0,7.41,0,6.22,0
108-118,0,1,1.55,4.12,0,1.62,0.72,0,0,3.55,0,0,8.04,0,0,8.64,0,0,0,2.19,0,0,0,0,0,2.34,6.52,2.23
120,0,0,1.89,4.76,0,7.17,0,0,3.24,0,0,0,71.52,2.35,7.89,28.15,0,16.05,0,0,0,0,0,0,0,0,7.47,0
