stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.93,0,0,0,0,0,0,8.46,0,0,7.53,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0,0,0,0
 24-34,0,0,0.67,0,0,0,0,0,0,21.98,0,1.71,4.39,0,0,0,0,0,1.37,0,0
 36-46,0,0,0,0,0,1.71,1.08,0,2.06,0,0,0,6.41,0,0,0,0,0,0.95,0,0
 48-58,0,0,0,0,0,1.38,1.38,0,3.44,0,0,0,12.54,2.48,0,0,0,0,7.29,0,0
 60-70,0,0,0,0,0,3.31,0,0,1.27,6.47,1.54,0,29.38,0,0,0,0,0,6.56,0,0
 72-82,0,0,0,0,0,5.43,0,8.69,0,0,0,0,26.91,0,0.61,0,0,0,2.67,0,0
 84-94,0,0,0,0,0,13.26,0,3.43,3.34,0.67,0,0,27.2,0.95,1.29,0,2.62,0,6.07,0,0
 96-106,0,0,0,0.73,0,24.17,1.1,147.42,0,1.68,7.31,0,24.42,0,16.02,0,0,0,4.01,0,0
108-118,0,0,0,0,2.59,14.61,1.21,446.23,0.56,11.02,7.57,0,22.57,3.76,4.79,0,0,0.52,1.92,1.98,0.75
120,0,0,0,2,0,42.69,0,467.2,0,15.3,1.23,0,33.23,0,20.1,0,2.7,7.71,1.95,0,0
