stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,18.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,42.48,0,0,0,0,0,0,0,0,0,0,22.85,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,8.31,1.64,0,0,0,0,0,0,0.81,0,0,0,0,0
 24-34,0,0,0.71,0,0,4.37,7.56,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0.86,11.25,25.21,2.24,17.16,0,0,0,7.16,0,0,0.69,0,0,8.94,0
 36-46,0,0,3.03,0,0,41.35,23.97,0,0,1.34,0,0,0.6,0,0,7.83,0,0,0,1.23,0,2.46,13.13,2.02,22.12,0.57,0,9.81,0.58,0,0,1.01,0,0,0.92,9.39
 48-58,0,0,0,0,0,178.25,20,5.49,0,8.41,0,0,0.65,0,0.52,0,0,0,1.04,1.85,0,6.59,80.96,1.16,31.15,0,0,3.79,0.65,4.87,0,2.43,0,0,0.39,6.86
 60-70,0,0,3.36,0,0,492.69,25.58,0,0,8.78,0,0,0,1.09,0,2.5,0,0,0,1.58,9.12,9.29,109.76,0.7,20.27,4.77,0.81,1.06,0,4.55,0,13.56,0,0,0,0
 72-82,0,0,0.52,0.51,0,531.43,19.63,0,0.6,24.61,0,0,0,6.94,0,0,8.86,1.2,0,9.03,0,10.63,200.9,0,77.11,0.79,0,2.11,0,4.11,0,11.27,0,2.84,1.6,10.69
 84-94,0,3.73,5.17,3.82,1.17,552.85,34.28,0,0,29.28,0,2.81,0,5.3,0.86,0,3.84,1.5,0,17.45,2.84,9.05,155.97,1.31,46.53,1.69,0,2.45,1.12,7.29,0,0,0,0,4.09,2.41
 96-106,0,0,2.7,2.59,0,536.57,29.47,0,2.09,21.26,0,0,0.96,2.33,0,0.75,4.39,1.61,0,30.89,0,1.64,194.26,0,77.2,1,0,5.25,0,4.72,0,10.52,1.86,1.34,6.95,3.56
108-118,0,0.57,5.86,4.28,0,530.55,28.11,1.12,0,21.98,1.15,0,2.93,2.75,0,4.02,6.2,2.53,0,22.56,0,11.44,214.84,2.66,50.16,7.93,0,12.93,0.52,16.95,0,0,0,1.1,0,18.97
120,0,0,3.46,0,0,712.21,18.9,4.69,0,51.03,9.51,0,0,3.3,1.1,0,5.12,0,0,28.55,0,3.58,413.27,1.38,55.86,0,0,11.25,1.94,1.69,0,22.88,0,0,0,25.38
