stage,blastomeres,epidermis,eye,glial,immune,iridophores,mesenchyme,muscle,neural,spinal.cord,vasculature
  3-4,55.22,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.88,0
 36-46,0,0,28.06,0.72,0,0,0.94,0,2.38,0,0
 48-58,0,0,80.1,0,0,7.88,0,0,3.78,0,0
 60-70,0,0,325.83,0,0,0,0,1.36,16.54,0,0
 72-82,0,0,227.99,3.74,0,0,1.37,0,3.02,0,0.55
 84-94,0,0,116.26,6.4,0,0,3.11,0,6.01,0,0
 96-106,0,0,98.69,0,0.81,0,0,0,9.99,0,0
108-118,0,2.11,92.71,4.08,0.91,0,2.1,0,0.78,0,0
120,0,0,61.98,0,0,0,0,11.67,0,0,0
