stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,somites,spinal.cord,vasculature
  5-6,25.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,11.65,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.05,0,0,0,0,0,0,0
 14-21,0,4.59,0,3.83,0,0,2.08,0.85,2.41,0,1.01,7.8,0,0,1.22,26.52,3.47,1.91,0,0.84,0,15.97,0
 24-34,0,2.08,0,5.45,0.62,0,0.63,0,0,0,0,14.39,0,0,4.77,53.66,0,0,0,3.84,0.79,11.44,0
 36-46,0,0,0,6.88,0,0,2.99,0,0,0,2.25,7.57,1.68,0,3.2,44.37,0,0,0,5,0,10.63,1.09
 48-58,0,0,0,7.01,0,0,14.55,0,0,0,0.54,8.44,0,0.87,2.3,10.74,0,0,0,8.2,0,8.04,0
 60-70,0,0,0,12.44,0,0,1.49,0,0,0,0,14.5,0,0,0,2.19,1.08,0,0,0,0,0,0
 72-82,0,1.18,5.75,4.6,0,0,25.05,0,0,0,0,17.78,1.8,0,2.65,8.1,0,0,0,1.88,0,9.24,0
 84-94,0,0,0,1.63,0.66,0,17.94,0,0,0,4.3,14.11,0,0,2.8,7.63,0,2.69,0,0.77,0,0.79,0
 96-106,0,1.41,0,18.5,0,0,14.18,0,0,0,0,9.48,0,2.13,1.6,5.74,0,0.92,4.63,3.02,0,0,0
108-118,0,0,2.3,3.74,0,4.46,20.42,0,0,0.61,1.01,7.47,0,0,1.15,15.98,0,1.4,1.05,0.45,0,0,0
120,0,0,3.03,5.02,1.83,0,26.88,0,0,0,1.51,0,0,0,0,5.79,0,1.66,0,3.1,0,0,0
