stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,84.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.29,45.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.9,0,0,0,5.69,0,0,10.79,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,0,0,0,0,0,0,0,2.38,0,0,0.81,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.21,0,0.62,0,0,0,0,0.66,0.62,0,1.21,0,0,0,0,1.07,0,0,0,31.09,0,0,2.58,0,0,0.71,0,0,8.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,6.53,0,0,0.9,0,0,0,0,0,0,0,0,0,0.58,0,0,0.69,40.41,0,1.76,1.25,0,0,0,0,1.41,7.13,0,0,0,0,0
 48-58,0,0,0,0,1.04,0,29.22,0,0.4,1.05,0,0,0,0,0.55,0.39,0,0,0,5.07,0,0.37,1.03,67.65,0.41,0.38,0.38,0,0,0,0,0,8.62,0,0,0.69,0,2.63
 60-70,0,0,0,0,0.63,0,53.43,1.77,0,9.34,1.35,0,0,0,0,0,0,0,0,9.79,0.58,0,1.34,52.13,0,1.58,0,0,0,0,0,0.76,3.22,0,0,1.05,0,0
 72-82,0,0,0,0,0.66,1.07,46.8,0,0,5.02,0.53,0,0,1.61,0,0.55,1.69,2.1,0,12.58,0,8.61,0,39.44,0,0,1.71,0,0,0,0,0,14.51,0.81,0,0.91,0,0
 84-94,0,0,0,0,0.62,0,37.85,0,0.6,0,0.58,0,0,3.91,1.62,0,0.73,0.58,0,15.87,2.58,0,0.57,51.44,0,0,1.26,0,0,0,0,0.64,0,0,0,2.9,0.63,0
 96-106,0,0,0.74,0,3.78,0,32.3,0,0,12.1,0,0,0,4.05,0,0,0,1.54,0,17.45,0,0,1.54,18.78,0,0,0.57,0,1.61,1.8,0,0,2.37,0,1.22,0.65,0.64,0
108-118,0,0,0,0,3.18,0,9.05,0,1.02,3.08,0.62,0,0,3.34,0.45,0,0.51,0.58,0.5,12.51,0,0,5.32,61.02,0,2.06,1.71,0,0,0,0,0,0,0,0,6.57,0,0
120,0,0,0,0,4.56,0,12.67,0,0,5.15,0,0,0,5.57,0,0,0,0,0,13.09,1.16,0,0,77.96,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
