stage,eye,fast_muscle,glial,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,1.16,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.5,0,0.8,0
 36-46,0,0,0,0,0,0,9.14,0,1.22,2.7,0,0
 48-58,0,0,0,0,0,0.6,0,0,0.58,0,1.49,0
 60-70,1.05,0,0,0,0,0,0,0,0,0,0,0
 72-82,0.87,1.33,2.03,1.55,0,0.72,0,0.92,0,0,0,1.87
 84-94,0.58,0,0,0,0,0,0,0,0,3.5,0,0.57
 96-106,0,0,0,0,0.67,0,0,0,0,3.17,0,0.74
108-118,0,0,0,0,0,0,0,0,0,3.37,0,0
120,0,0,0,0,0,1.49,0,0,0,0,0,13.77
