stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,4.64,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,0,0,0,0,0,0,0,0,1.1,0,3.36,0,0,0,0,0,0,16.51,1.51,0,0,11.11,0,2.57,0,0,0,0
 24-34,0,0,0.74,14.86,0,0,3.48,0.95,0,0,0,0,0,2.4,35.68,25.22,0,2.63,13.03,0,0,235.51,30.48,0,0,23.94,0,3.09,0,0,0,0
 36-46,0,0,0,18.76,0,0,0.71,0,0,0.79,0,0,0.93,0,29.23,20.64,0,1.14,9.76,0,0,239.77,28.22,0,0,85.16,0,5.03,0,0,0,0
 48-58,0,0,0,28.89,0,0,3.05,0.94,0,0.77,0,0.49,0,0,25.65,51.28,0,0.8,3.02,0,0,100.73,11.75,13.19,0,55.31,0,3.89,0,0.37,0.43,0.67
 60-70,0,0,0,31.35,0,0,8.48,4.06,0,0.67,0,0,0,1.16,58.87,58.74,0,0.99,5.14,0,0,23.07,10.44,9.73,0,47.33,0.71,0,3.17,0,0,0
 72-82,0,0,0,99.29,0.64,0.55,15.6,0.8,0,1.61,14.08,0.65,0,3.87,82.75,107.43,0,2.92,9.84,0,0,28.55,17.39,2.22,0,76.29,0,8.55,52.34,0,0,0
 84-94,0,0,0,179.68,0,0.59,40.16,4.87,0.75,0.66,16.92,0,0,1.7,123.3,152.34,1.85,2.9,9.14,0,0,101.04,53.47,1.68,0,217.54,0.66,0,205.89,0,1.1,4.35
 96-106,0,0.99,0,240.38,22.61,0,20.4,3.84,7.73,2.28,44.77,1.06,0,4.97,182.28,241.45,0,20.36,19.8,0.7,1.12,42.58,66.97,1.2,0,199.97,1.37,6.79,293.55,0,0,0
108-118,0,0,0,205.72,1.33,0.66,14.76,2.79,2.92,1.78,33.67,0,0,4.85,103.9,136.54,0,6.62,17.92,0,0,36.53,35.99,0,0,169.13,0,0,271.96,0,0.56,0
120,0,0,0,101.43,0,0,6.05,7.36,0,2.03,10.24,0,0,0,60.25,136.81,11.42,8.84,4.52,0,1.52,57.38,15.55,0,0,41.6,0,0,85.18,0,0,0
