stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,36.35,461.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.93,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,331.04,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.58,0,0,0,6.17,0,23.38,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.45,23.4,0,13.51,0,0,7.68,0,0,0,0,7.87,0,0,0,0,0,0,0,0,0,0,0,422.21,18.51,0,0,502.81,0,11.93,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.9,0,28.68,0,0,4.46,0,0,0,0,7.93,0,0,0,0,0,0,0,0,0,0,0,646.45,40.42,0,0,692.1,0,4.49,18.59,14.96,35.47,0,15.9,0,0,0,0,0,0
 14-21,0,0,2.22,2.3,48.01,3.04,5.51,0,0,0,1.19,0,0,0,0,4.19,0,0.93,77.8,11.55,0,0,10.97,38.02,7.03,0,2.84,4.05,0,17.19,0,49.88,1.22,22.75,72.45,20.74,0,0,0,0,142.29
 24-34,0,0,0,0,12.24,0,3.96,0,0,0,0,0,3.47,0,1.41,16.39,1.7,0,475.3,19.22,0,0,14.21,68.68,1.3,2.06,0.73,0,0,6.96,0,0,0,7.72,0,14.08,0,0,8.49,0,428.93
 36-46,0,0,0,0,19.03,0,15.44,0,0,4.87,0,0,0,0,0,4.43,0,0,677.57,26.34,0,0,4.09,51.12,0.55,0,0,0,0,10.59,0,0,0,0,0,6.53,0,0,4.87,0,601.03
 48-58,0,0,0,0,15.69,0,47.7,0,4.94,8.14,0,0,0.53,0,0,43.62,0,0,661.1,32.56,0,0,6.13,73.6,0,0.8,0,0,0,2.41,0,0,0,0,0,9.73,0,0,0.41,0,935.94
 60-70,0,0,0.57,0,18.27,0,23.03,0.99,0,11.23,0,0,0,0,0,39.32,0,0,393.68,35.44,0,8.57,1.02,26.83,0,2.15,0,0,0,3.64,0,0,0,0,0,4.56,0,0,3.75,0,822.05
 72-82,0,0,0,0,5.06,0,31.35,0,0,13.86,0,0,0,0,0,48.52,0,0,177.44,40.87,0,0,1.53,43.46,0,0,0,0,0,7.72,0,0,0,0,0,8.39,0.69,0,3.63,2.34,703.21
 84-94,0,0,0,0,15.08,0,25.15,0,3.53,23.54,2.03,0,0,1.52,0.6,52.4,0,0,312.22,29.04,0,3.35,2.63,27.27,1.96,0,0,0,0,3.33,0,0,0,0,0,1.13,0,3.92,0,0,432.69
 96-106,0,0,0,0,7.49,0,17.01,0,6.32,37,0.95,0,0,1.21,1.39,45.83,0,0,183.6,24.52,0.61,0,2.94,24.49,0,0,0,0,1.36,5.35,0,0,0,0,0,8.75,0,2.88,1.35,5.33,384.52
108-118,0,0,0,0,2.75,0,18.06,0,1.63,41.67,0,0,0,1.47,0,73.29,0,2.33,289.74,19.71,0,5.85,3.35,35.57,0,0,7.56,0,7.05,1.49,0,0,0,0,0,0,0,0,1.24,0,459.96
120,0,0,0,0,3.52,2.26,3.23,0,0,36.53,0,0,0,0,0,48.67,0,0,96.6,36.32,0,2.21,0,29.55,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,1.67,15.92,192.45
