stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,28.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,11.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.28,0,0,0,0,0,0,0,0,0,0,0,12.28,0,0,0,0,0,0,0,0,0,0,0,8.82,0,0,0,9.98,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1,0,0,0,11.21,0,4.33,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.18,0,23.87,2.74,6.28,0,0.82,0,1.08,0,0,0,0,0.96,0,0,4.33,0,6.23,0,0,2.82,78.06,1.62,1.36,3.37,0.95,0,37.74,10.62,1.01,4.95,26.28,0,0,1.64,0,0.84
 24-34,0,0,0.66,1.19,7.66,0,15.24,0,1.31,0,8.11,0,0,0,0,0.68,0,0,0,1.66,13.6,0,0,8.85,250.21,1.18,6.73,1.56,0,0,23.23,0,1.68,2.45,54.9,0,0,19.56,0,0
 36-46,0,0,0,0,3.38,0,26.79,0,3.38,1.54,12.64,0.57,0,2.01,0,0,0,0.68,0,0,14.32,1.78,0,7.39,271.51,0.66,6.72,1.15,0,0,31.15,0,0,0,48.95,0,0,12.47,0,3.45
 48-58,0,0,0,0,11.84,0,54.95,0,0.92,0.43,15.15,0,0,0.63,0,0.55,0,0.38,0,0.96,21.95,0.7,0,2.03,255.69,1.57,0.39,0.81,0,0,17.5,0,0,0,64.58,0,0,3.13,0,0
 60-70,0,0,0.7,0,9.16,0,210.79,0,0,0.77,18.49,0.72,0,0,0.81,1.02,0,0.84,0,1.24,48.82,0,1.84,1.96,237.11,0,3.87,8.68,0,0,24.93,0,0,0,25.31,0,1.5,5.41,1.84,4.04
 72-82,0,0,0.87,0,16.88,22.48,244.44,0,5.18,3.93,28.45,0.64,0,0,0,0,9.37,1.76,1.08,0,49.94,1.52,3.33,1.86,473.22,0,6.09,0,0,0,6.81,0,0,0,47.55,0.97,3.31,10.74,0,0
 84-94,0,0,3.45,0,3.22,13.17,207.94,1.17,1.93,5.47,20.22,2.61,0,1.12,4.25,4.09,0.79,1.39,0,0,41.59,0,0,2.73,263.81,0,8.11,0,0,0,45.73,0,1.15,0,41.82,0,1.63,14.41,0,0.61
 96-106,0,0,2.08,0,11.23,9.82,204.07,0.64,0.6,0,49.06,8.74,0,1.16,1.45,1.97,1,0.94,7.11,0,43.93,0,5.76,1.82,215.99,1.38,3.44,3.05,0,0,34,0,0,0,15.33,2.48,0,9.02,1.9,0.69
108-118,0,0,4.9,0,8.47,5.85,181.97,0.78,1.59,5.13,31.29,3.8,0,0.78,2.24,1.22,3.39,1.09,2.31,2.8,42.12,10.93,17.2,2.4,205.83,0.56,4.92,4.53,0,1.49,17.6,0,0.42,0,7.29,0.84,0.69,6.39,0,2.62
120,0,0,0,0,25.78,17.1,112.46,15.67,2.39,0,15.42,9.15,0,0,1.24,2.37,7.27,2.85,6.57,0,126.12,1.72,0,13.23,366.28,0,0,0,0,2.03,10.23,0,0,0,23.25,1.28,5.64,32.88,4.47,2.08
