stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,11.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,96.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0,0,0,0,0,0,0
  7-9,6.21,8.58,0,0,0,0,0,0,0,5.37,0,0,0,0,0,0,87.8,8.91,25.82,0,0,0,0,0,0,0
 10-12,4.57,4.21,0,0,0,0,0,0,0,5.11,0,0,0,0,0,0,111.17,3.54,34.15,0,0,0,0,0,0,0
 14-21,0,0,0.9,0,2,0,0,0,0,0,0,0.99,15.67,1.21,0,0,24.64,0,0,12.18,0,0,0,4.94,0,0
 24-34,0,0,1.45,0,1.35,0.68,0,0,0,0,0,0,0.73,0,0,1.4,13.44,0,0,0.88,0,0,0.67,6.62,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,9.42,0,0,1.5,0,0,0,15.99,0,0
 48-58,0,0,0,0,1.86,0,0,1.21,0,1.97,0,0,2.85,0,0.95,0,6.19,0,0,0,0,1.29,0,4.28,0,0
 60-70,0,0,0,0,6.67,0,0,0,0,2,0,0,0.68,0,0,0,9.11,0,0,0,0,0,0,6.98,1.05,0
 72-82,0,0,0.66,0.76,9.59,0,0,0.57,0,0,0,0,3.49,0,0,0.78,20.62,9.68,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,19.37,0,0,1.6,0,0,1.12,0,0,1.47,0,0,3.5,0,0,0.74,0,0,0,6.46,0,0
 96-106,0,0,4,0,7.78,0,1.54,0,0.68,0,1.26,0,0,2.81,0,0,4.52,0,0,1.56,0,0,0,0,0,0
108-118,0,0.74,0,11.69,29.33,1.39,0,0,0,0,0,0,3.11,0.88,0,0,8.24,0,0,1.52,0.42,0,0,0,0.52,0.43
120,0,0,0,8.04,73.99,0,0,0,0,0,0,1.28,0,0,0,0,24.27,0,0,3.21,0,0,0,8.17,0,0
