stage,axial,blastomeres,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,neural,olfactory,otic,spinal_cord,vasculature
  3-4,14.43,32.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,3.06,0,0,0
 24-34,0,0,0,0,0,3.01,0,0,0,0.61,0,0,0,3.18,3.28,9.62,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.34,0,0,5.92,3.21,10.18,0,0
 48-58,0,0,0,0.64,0.51,0,0,0,0,0,1.66,0,0,3.25,0,5.53,0.59,0
 60-70,0,0,0,0,0,0,0,0.89,0,0,4.85,0,0,10.28,0.99,13,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,9.31,1.61,0.61,4.57,0.49,19.83,0,0
 84-94,0,0,0,4.27,0,0,0.89,1.86,0,1.71,9.01,0,0,1.86,0,48.33,0,1.18
 96-106,0,0,0,8.17,0.68,0,0,0,1.48,0,20.36,0,0,7.54,0,58.56,0,0
108-118,0,0,0,2.58,0,0,0,0,0,0.45,13.71,0,0,15.99,0,50.44,0,0.54
120,0,0,2.11,0,0,0,0,0,2.43,2.51,17.69,0,0,11.78,0,63.91,8.94,0
