stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.95,301.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,0,0
  5-6,0,327.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,8.4,0,0,54.73,0,0,0,0,35.98,0,0,0,0,0,0,0,0,0,0,193.6,8.86,0,0,124.98,0,0,0,12.83,0,0,0,0,0,0,0
 10-12,0,12.49,0,9.17,0,0,29.32,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0,370.57,13.83,0,0,106.95,0,9.34,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.03,1.76,23.94,4.88,9.65,1,0,0.9,3.08,0.92,0,1.18,0,0,0,0,15.96,0,0,2.43,154.01,2.19,1.09,0,1.02,4.55,0,14.95,0,1.19,10,35.92,0,1.41,0,0
 24-34,0,0,0,0,16.83,0.98,38.33,0,0,4.08,0,1.82,0,0,0,0.79,0,0,26.91,0,0.69,4.02,484.11,0,3.53,1.79,0,1.82,0,0,1.12,2.48,2.03,100.64,0,5.34,0,0
 36-46,0,0,0,0,14.85,0.88,103.94,0,0.63,8.86,0,0,0,1.15,0,0,0,0.61,28.1,0.67,0.89,2.66,541.95,11.36,3.72,0.7,0,1.91,0,0,0,0,1.09,93.89,0,1.01,0,0
 48-58,0,0,0,0,4.1,4.3,200.92,0,0.43,20.32,0,0,0.45,0,0,2.61,1.04,0,23.31,0.63,4.67,2.12,558.3,2.89,2.11,1.85,0,11.32,0,0,0,0,0,97.61,0,0,0,0
 60-70,0.81,0,0,0,16.59,0,164.5,0,7.74,26.22,0.95,0,0,0.93,0,0,0,0,57.85,5.63,0,3,487.71,0,6.22,1.23,0,5.12,0,0,0,0,0,57.77,0.61,0.73,0.79,1.44
 72-82,0,0,0.54,0,5.46,0.82,122.34,0,0,9.68,2.2,0,0,0.57,0.82,0,0,0,39.56,0.58,5.78,3.36,251.18,0,0.5,0.53,0,0,0,0,0.84,0,0,18.69,2.09,0.81,0.67,0
 84-94,0,0,0,0,5.32,0.57,43.57,0,0,13.6,0,0,1.49,1.2,0.96,0,2.4,0,22.96,4.61,1.78,0,104.37,0,2.63,2.7,0,0.64,0,0,0,0,0,12.19,1.81,2.16,0,0
 96-106,0,0,0,0,1.27,0,43.74,0,0.6,7.06,2.69,0,0.93,0,0,2.23,0,0,15,0,0,0.69,128.47,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0
108-118,0,0,0,0,9.65,3.61,31.34,0,6.37,7.02,0.86,0,12.66,1.43,0,0,0.42,0,7.64,2.46,1.34,1.19,113.09,2.09,0,0.8,0,6.73,0,0,4.14,0,0,6.94,1.79,1.55,0.44,0
120,0,0,0,0,15.09,5.48,58.09,0,3.94,9.92,1.32,0,0,0,2.93,4.71,0,0,22.69,0,0,1.01,206.43,1.45,0,0,0,0,0,0,0,0,0,5.23,0,7.63,0,0
