stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,40.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.28,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,0,0,0,9.2,0,17.32,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.1,1.05,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0,0,1.11,7.97,0,0,0,0,0,0,0,2.24,0,0,1.54,5.92,0,0,3.6,0,0
 24-34,0,0,0,9.39,0.76,0,6.6,0,0,0,1.01,0,0,8.78,0,0,0,0,2.61,0,35.54,0,0.89,9.54,39.13,1.25,0.98,0,0,0,0,0,0,0,1.97,1,24.83,0,0,12.4,0,0
 36-46,0,0,0,23.25,0,0,2.5,0,1.64,1.21,0,0,0,44.55,0,0,0,0.62,0,0,84.07,0,2.58,15.69,4.93,0,0,0,0,8.24,0,0,0,0,0,0,24.69,0,5.08,2.75,0,0
 48-58,0,0,0,23.71,0.39,0,7.87,0,7.92,3.1,5.39,0,0,39.62,0,0,0,0,0,2.51,179.95,0.74,7.38,22.38,25.42,0,0,0.46,0,0.4,1.94,0,0,0.56,2.26,0,6.87,0,2.99,5.14,0,7.25
 60-70,0,0,0,19.32,0,0,6.06,4.28,2.95,7.36,31.29,0,0,44.13,0,0,0,6.66,0,7.64,531.77,0,16.88,24.81,56.72,0,0,0,0,22.21,0,0,0,0,0.6,0,10.66,0,33.59,0,0,2.28
 72-82,0,0,0,14.8,0,0,27.53,3.6,2.11,4.49,33.95,0,0,57.8,1.65,0,2.68,1.13,0,4.38,1023.86,0,87.62,28.23,49.53,0,0,0.71,0,27.61,0,0,0,3.21,0.71,0,10.94,0,78.77,1.91,28.39,1.18
 84-94,0,0,0,36.4,0,0.7,59.37,1.56,1.47,4.61,23.23,0,0,89.69,0,0,0,0,0.6,6.16,658.78,0,109.13,34.13,49.28,0.9,0.7,4.36,0,11.77,0,0,0,0.74,0,0,6.36,0,43.21,3.92,10.49,0
 96-106,0,0,0.89,33.73,2.34,0,31.54,2.99,1.43,2.45,40.75,5.79,0,61.8,0,0,1.48,2.39,6.02,5.05,1105.86,0.96,101.93,21.11,80,0.57,1.35,3.83,0,58.2,2.15,0,0,0,2.48,0,6.98,2.45,75.1,1.35,63.39,5.99
108-118,0,0,0,66.4,2.1,0,45.74,0,9.95,3.42,53.85,0,0,40.63,1.26,0.49,0,0.63,0,1.99,1601.11,0.43,167.42,45.45,91.36,0,0,0.82,0,110.57,1.15,0,0,0.97,0,0,1.82,0,53.38,3.23,71.5,1.25
120,0,0,0,41.27,0,0,77.59,0,20.24,9.38,106.42,0,0,104.06,0,0,2.93,1.48,0,19.4,1950.72,0,244.13,38.06,145.87,0,3.06,5.44,0,129.82,2.81,0,0,1.74,0,0,6.18,0,110.02,2.27,187.38,4.96
