stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77,0,7.63,0,0,0,0,0,0,0,0
  7-9,12.85,9.62,0,0,25.11,0,0,0,0,0,0,0,0,0,0,0,0,82.85,9.1,0,0,15.91,0,0,0,0,0,0,0,0,0,0
 10-12,7.39,0,0,0,8.89,0,0,0,0,3.5,0,0,0,0,0,0,0,129.48,12.86,0,0,53.16,0,0,0,6.74,0,0,0,0,0,0
 14-21,0,1.01,5.82,2.87,4.58,0,0,0,0,0,0,0,0,0,2.96,0,1.05,18.63,11.62,0,0,0,0,1.86,2.03,0,0,1.76,7.61,0,0,0
 24-34,0,0,3.66,0,5.64,0,0,0,0,0,0,0.89,0,0,10.43,0,7.74,17.83,1.24,0,0.62,0,0,0,0,0.65,0,4.1,3.86,0,5.79,0
 36-46,0,0,6.01,0.72,5.87,0,0,0.63,0,0,0.82,0,0,0,35.95,0.67,5.53,13.27,1.88,0,0,0,0,0,1.39,0,0,0,12,0,3.84,0
 48-58,0,0,0,0,7.78,0,0.41,6.38,0,0,0,0,0.42,0,30.52,0.5,4.79,17.6,0,0,0,0,0.85,9.34,0,0,1.01,0,4.88,0,0.38,0
 60-70,0,0,1.37,0,4.41,4.18,0,12.26,0,0,0,0,0,0,40.73,0.79,3.19,3.79,0,0.89,0,0,0,6,0,0,0,0,10.91,0,2.55,0
 72-82,0,0,0,0,8.87,1.27,0,26,0,0,1.12,0,0,0,34,1.45,5.86,9.91,0,0,0,0,0,0.5,0,0,0,0,0,0.67,3.29,0
 84-94,0,0,6.63,0,5.4,1.7,0,9.53,0,0,0,0,2.52,0,22.21,0,7.27,3.81,2.07,0,0.92,0,0,0,0,0,0,0,0,0,2.16,0
 96-106,0,0,1.4,0,5.12,0,1.62,8.21,0,0,0,0,0.99,0,20.81,0,0,11.83,0,0,0,0,2.4,0,0,0,0,0,0,0,0.79,1.15
108-118,0,0,4.24,0,1.27,0,0.7,8.42,0.43,0,0,0,0,0.69,25.01,1.79,4.09,10,0.48,0,0,0,0.92,0,0,0.55,0,0,0.71,1.06,1.7,0
120,0,0,5.97,0,1.09,0,0,40.4,0,0,0,0,0,0,10.35,1.45,3.09,36.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
