stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,39.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,127.05,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.39,0,0,0,0,53.82,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.34,0,0,14.55,0,0,0,0,0,0,0,48.74,0,0,0,6.67,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47,0,0,0,0,0,1.93,1.77,3.41,0,0,0
 24-34,0,1.28,0,0,0,3.05,1.99,0,0,0,0,0,0,20.16,0.6,2.98,0,0,0,0,0,12.79,0,0,0
 36-46,0,0,0,0,0,1.59,0.69,0,0,0,0,0,0,51.16,0.57,0.66,0,0,0,6.95,0,14.13,0,0.69,0
 48-58,0,0,0,6.79,0,34.97,1.51,0,0,0,0,1.45,0.42,60.87,0,0,6.9,0,1.31,0,0,6.07,0,0,0
 60-70,0,0,0,0,0,151.84,0,0,0,0,0,2.2,0,86.22,0,1.56,0,0,0,0,0,9.31,0,0,0
 72-82,0,0,0,0,0,187.33,4.01,0,0,0,0,2.65,0.82,83.85,0,0,0.79,0,0,0,0,6.09,0,1.01,0.6
 84-94,0,0,0,2.08,1.3,145.65,2.84,3.23,0,0.73,0,1.35,3.52,55.11,0,0,0,0,1.05,0,0,5.83,0.55,0,0.68
 96-106,0,0,0,0,8.38,133.62,9.5,1.44,0,2.89,0,0,0,40.77,0,0,0,0,0,0,0,0,0,0,0
108-118,0,5.22,0,0,0,117.72,6.06,2.4,0,1.34,0.61,0,1.01,32.65,0,2.82,3.96,0,0,0,0,9.75,0,1.07,0
120,0,0,0,0,0,70.87,10.19,0,0,1.51,0,0,6.08,227.89,0,0,2.11,0,0,0,0,0,0,6.97,0
