stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,68.21,898.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.94,1480.88,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.2,13.98,0,0,44.17,0,19.36,0,0,0,0,0,0,0,0,0,0,0
  7-9,51.39,68.64,0,87.83,0,0,0,177.18,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,1656.71,139.97,0,0,814.14,0,5.78,76.23,0,0,0,0,0,0,0,0,0,0
 10-12,0,64.68,0,69.83,0,0,0,170.05,0,0,0,0,0,17.93,0,0,0,0,0,0,0,0,0,0,1073.26,51.51,0,0,181.63,0,0,14,0,18.28,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.73,78.6,23.53,0,12.91,0,0,0,7.7,2,0,6.4,0,0.81,0,0,1.36,0,26.06,0,48.4,310.29,15.59,0,1.53,12.16,0,10.46,0,32.77,12.44,1.9,212.17,160.76,0,0,15.86,0,0
 24-34,0,0,0,0,14.51,1.11,0,11.96,0,1.7,3.48,6.66,1.34,6.79,12.2,0,1.03,0,4.25,10.95,0,49.51,0,18.83,164.31,4.37,3.84,12.92,0,1.14,6.97,0,0,3.74,0,44.06,48.15,0,0,52.24,0,0.93
 36-46,0,0,0,0,11.77,1.7,0,1.2,0,0,0.67,15.15,2.07,0,7.51,0,0.66,1.88,2.99,1.36,0,60.51,0,16.9,148.18,1.53,6.44,13.67,0,0,16.04,0,0,0,0,0,72.62,0,0,24.73,0,0
 48-58,0,0,0,2.15,2.42,0,0,18.25,0,0,2.64,28.45,0.38,0,8.14,0.49,0.38,0,10.11,0,0,73.5,0,11.11,103.88,1.84,2.27,9.33,0,0.39,0.42,0,0,4.54,0,0,44.76,0,0,30.83,0,0
 60-70,0.81,0,0.65,0,11.44,0,0,26.65,1.1,0.96,5.01,23.7,2.17,1.21,3.79,0,4.74,0.85,6,1.7,0,102.9,2.41,4.99,197.08,0,6.62,4.09,0,0.66,7.55,0,0,2.06,0,0,45.04,0,0.67,20.72,1.13,0
 72-82,0,0,0,0,14.64,14.18,0,71.67,4.55,1.95,2.16,42.55,6.7,0,6.99,1.12,2.9,0.64,3.94,0,0,101.71,13.32,5.88,155.18,0.73,3.82,4.14,0,0.8,5.42,0,0,0.76,0.53,0,25.92,0,0.51,38.52,6.28,0
 84-94,0,0,0,0,5.56,5.91,0,20.4,0,0.84,0.94,10.61,12.12,0,11.2,10.96,1.17,2.2,6.38,0.85,2.28,124.23,4.19,12.14,81.7,0.88,5.8,5.29,0,6.86,25.33,0,0,0,0,0,13.5,0,0.84,28.02,0,0.64
 96-106,0,0,0,0,24.62,13.39,1.76,58.43,0,0.57,3.89,23.25,3.09,0,10.96,6.15,3.56,0,5.93,0,0,65.74,4.82,1.86,84.39,0,8.62,9.69,0,0,16.38,0,0,0.58,0,0,3.02,0,3.44,38.1,2.68,13.2
108-118,0,0,0,0,8.84,3.66,0,76.86,0.73,0.91,2.57,38.69,5.19,0,1.31,6.58,3.85,3.39,0.56,4,0.6,79.85,1.85,13.15,129.2,0,1.6,7.77,0,0,12.97,0,0,0,0,0,9.44,3.04,3.61,29.58,0,5.92
120,0,0,0,0,8.85,0,0,42.18,0,1.42,0,30.49,5.1,0,1.15,18.02,3.07,4.82,2.6,0,0,70.39,0,13.1,186.89,0,0,7.45,0,0,2.27,0,0,0,0,0,0,0,7.39,25.85,0,2.33
