stage,epidermis,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,periderm,spinal.cord,taste
 14-21,0,0,0,0,0,0,0,1,0,0,0.82,0,12.54,0,0
 24-34,0.64,0,0,0,0,0,0,0,0,2.73,0,0.75,38.87,0,0
 36-46,0,0,0,1.69,0,0,0,0,0,0,0,0,81.7,1.71,0
 48-58,2.18,1.32,2.57,0,0,0,0.38,0,0,1.27,0,0,37.58,0,0
 60-70,0.69,0,0,0,0,0,0,0,0,10.52,0,0,58.67,0,0
 72-82,3.17,0,0,0,0,0,0,0,0.79,0,0,0,30.97,0,0
 84-94,3.73,0,0,0.68,0,0.71,0.81,1.15,0.71,2.05,0,0,123.46,0,0
 96-106,5.55,0,0,1.95,0.96,0,1.8,0,0,4.86,0,0,71,0,0
108-118,9.69,0,0,0,1.03,0.93,1.29,0,1.84,0,0,0,49.34,0,1.1
120,10.35,0,4.85,0,0,1.07,0,0,0,0,0,0,40.78,0,0
