stage,endocrine.pancreas,eye,glial,gut,hatching.gland,heart,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature
 10-12,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,1.02,0,0,0,0
 24-34,0,0,0.88,0,0,0,0,1.64,0.67,0,10.62,0,0,0,0,0,7.1,0,0
 36-46,0,0.66,0,0,0,0,0,0,0,0,17.15,0,0,0,0,0.65,0,0,0
 48-58,0.46,1.7,1.28,0,0,0,0,0,0,0,33.83,0,0,0,0,0,1.54,0,0
 60-70,0,20.73,0,0,0,0,0,0,0,0,30.75,0,0,0.69,0,0,9.56,0,0
 72-82,0,12.01,8.45,0,0,0,0,0,11.27,0,64.76,0,0,0,0,2.57,1.21,0.94,1.51
 84-94,0,7.39,0.96,0,0,0,0,0,2.97,0,49.97,0,0,4.87,0,0,2.9,0,0
 96-106,1.43,33.51,0,0,0,0,0,0,0,0,64.61,0.7,0,0,0,0.6,1.35,0,0.98
108-118,0,11.95,3.77,0.42,0,0,0.84,0,0,1.14,42.52,0,0.96,0,0,0,0,0,0
120,0,0,0,0,0,2.63,0,0,8.35,0,48.2,0,0,0,0,0,0,0,0
