stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,68.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,17.23,0,0,19.45,0,20.31,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.84,8.51,0,0,415.32,0,5.38,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.92,0,0,0,705.96,0,0,6.41,4.36,0,0,28.5,0,0,0,0
 14-21,0,18.5,0,0,2.29,0,0,0,0,0,0,0.85,0,4.91,0,5.85,0,0,0,0,0,0,2.14,24.14,0,0,0,1.09,0,0,0,75.27,0,1.84,61.75,5.29,0,0,0
 24-34,0,3.5,0,0,1.52,0,0,0,0,0,0,0,0,13.7,0,10.52,0,0,0,2.16,0,0,0,16.37,0,1.38,0,0,0,0,0,0.83,0,0,7.72,0,0,0,0
 36-46,0,0,0,0,1.1,0,17.52,0,0,0.64,0,0,0,2.23,0,3.19,0,0,0,0,0,0,0,10.86,0,0.66,0,0,0,1.55,0,0,0,0,0,1.35,0,0,0
 48-58,0,0,0.43,0.39,1.44,0,107.9,0,0,0,4.1,0,0.49,3.91,0,0.87,0,0,0,0.52,0,0,0,9.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.05,0,0,1053.93,0,0,0,17.89,0,0,0,0,0,0,0,5.76,0.66,0,2.56,0,8.58,0,0,0,0,0,0,0,0,0,0,0,2.47,0,0,0
 72-82,0,4.38,0,19.92,0,0,2943.19,2.64,0,0.77,72.21,0,0,0.66,1.18,0,0,15.97,0,8.95,0,0,2.26,87.74,1.98,0,0,0,0.87,1.16,0,0,0,0,0,0.89,0,0,4.92
 84-94,0,0,0,2.9,0,0,2191.17,0,1.3,0,88.35,0,0,0,0,0,4.64,0,0,15.45,0,0,1.01,40.11,0,0,0.72,0,0,0,0,0,0,0,0,0.67,0.75,1.38,0
 96-106,0,1.05,0,4.02,14.08,1.05,4038.32,9.27,0,0,81.09,4.82,0,2.2,0.87,1.92,1.99,0,0,19.11,0,1.41,0,62.32,0,0,2.02,0,0,4.69,0,0,1.75,0,0,8.62,3.78,0.77,0
108-118,0,1.23,0,9.11,1.75,0,4274.58,0.54,2.55,1.89,143.05,7.71,0,0,0.85,3.47,0,0,0,11.17,5.43,0,0.86,84.67,0,0,0,0,0,0.44,0,0,0,0,0,0,4.59,0,1.3
120,0,8.82,0,80.15,0,0,2167.95,0,0,0,186.63,0,0,5.18,0,0,0,0,0,22.08,9.06,0,0,195.31,10.52,6.01,0,0,0,0,0,0,0,0,0,0,10.76,0,0
