stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,32.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.75,0,0,0,4.08,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,5.74,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.82,0,0,9.78,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.78,0,0,1.93,0,0,0,0,1.18,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,13.83,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.43,0,0,0,5.54,2.47,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,1.72,0,4.27,0,1.24,0,18.55,0,0,0,27.86,0,1.76,0,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.32,5.18,10.61,0,0,3.73,114.13,0,0,2.9,0,0,7.66,0,1.95,24.22,0,0,0,0,2.81,0,0,1.66,0,0,0,3.97
 84-94,0,3.53,4.24,0,5.78,0,0,0.58,272.66,0,0,0,10.97,0,4.9,0,0,32.53,0,0,0,0,0,7.82,0,10.78,0,0,0.69,0
 96-106,0,4.1,3.3,5.55,46.39,0,0,12.96,1050.09,0,0.58,3.52,16.75,2.25,25.57,2.69,1.11,116.59,2.22,3.47,0.83,0,0,11.39,0,5.85,0.59,1.48,3.29,0
108-118,0,1.21,6.81,15.11,41.67,0.46,0,23.79,1810.28,0,0.56,0.65,8.55,0,20.2,0,0,194.97,0.59,0,1.21,0,0,6.53,0,2.98,0,0,2.7,5.98
120,0,0,7.97,9.77,25.21,7.84,0,17.78,1698.03,0,0,0,32.7,0,6.94,7.65,3.87,356.39,3.15,0,5.9,0,0,6.01,0,9.81,0,0,8.66,0
