stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3.04,10.89,133.41,33.95,0,92.13,0,0,0,16.27,2.26,2.29,3.73,0,2.25,0,0,0.93,5.65,67.41,0,0,67.11,1054.31,26.37,3.43,5.08,26.95,0,64.77,0,129.28,9.21,6.59,139.19,325.13,0,0,9.39,0,4.04
 24-34,0,2.18,9.88,59.53,7.49,0,219.06,9.89,2.51,1.64,36.51,1.34,0,13.66,11.54,5.02,23.23,10.98,15.61,10.34,218.68,1.09,0.81,64.67,2497.31,19.23,25.93,19.26,0,0,210.44,0,0,11.91,5.42,40.56,598.64,0,0,89.45,0,14.08
 36-46,0,1.92,0.56,34.71,3.12,0,402.52,1.13,13.25,5.43,153.77,1.24,0,4.12,3.46,4.86,38.61,3.99,5.31,22.57,267.62,1.5,1.4,78.87,3264.4,17.04,39.78,17.14,0,2.1,409.03,0,1.05,1.95,5.42,0,657.7,0,0,93.18,0,24.58
 48-58,0,1.82,0,47.3,5.58,0,954.07,2.26,8.04,14.68,267.5,6.66,1.25,5.06,14.28,1.38,17.5,2.15,19.37,26.15,337.13,7.55,9.79,52.26,3562.35,9.9,22.43,14.04,8.44,0.45,332.17,1.31,0,8.87,14.28,0,759.87,0,1.03,69.75,0,43.4
 60-70,0,0.91,0,49.82,4.6,0,1381.08,11.1,24.09,8.97,354.87,10.31,0,8.21,23.13,11.87,21.11,9.74,0,10.67,368.18,0.85,15.22,50.76,3286.52,5.34,20.2,23.53,0,11.88,562.57,0,0,5.05,1.33,0,452.93,2.51,6.64,47.94,1.41,47.01
 72-82,0,2.13,0,86.13,26.59,0,1210.84,5.16,8.83,13.98,414.35,12.47,0,2.75,9.99,4.75,19.61,12.19,7.87,15.46,514.36,5.34,29.82,47.37,3176.9,6.83,33.89,50.23,0,1.62,613.02,0,0,9.06,1.84,0,365.57,5.36,3.47,97.06,4.26,27.19
 84-94,0.62,0.8,1.04,97.19,8.31,4.47,892.84,0.7,40.52,19.14,274.14,14.25,3.52,1.81,19.42,18.15,18.76,4.87,14.99,35.97,383.94,11.48,22.43,47.24,2194,6.53,14.07,37.33,0,6.18,1603.44,0,0,20.1,2.78,0,264.57,9.46,13.17,81.8,14.43,20.98
 96-106,0,7.23,0,147.98,35.38,2.4,802.62,1.44,24.38,13.5,364.66,36.38,2.38,4.17,34.52,21.3,4.91,13,3.89,8.1,405.24,18.77,20.25,25.24,2195.93,1.9,22.4,41.76,0,15.39,1946.42,0,0,11.58,7.61,0,136.4,8.42,2.14,73.14,10.5,31.7
108-118,0,4.62,0.61,179.89,17.67,39.18,841.61,2.97,34.52,16.12,355.01,43.11,0,4.71,15.87,42.1,28.84,13.3,24.4,24.83,337.68,25.44,29.13,51.37,2283.85,6.9,13.73,53.1,8.11,10.33,1665.91,0,0,16.62,3.63,0,61.6,16.45,4.46,89.74,5.93,36.1
120,0,0,0,203.53,27.34,0,748.84,12.58,56.09,2.17,356.8,20.3,0,5.1,43.06,21.52,17.16,17.09,1.4,15.3,393.38,12.39,34.32,60.65,2799.97,0,31.39,58.07,0,40.77,606.86,0,0,18.15,0,0,192.07,3.49,2.93,86.77,29.69,9.51
