stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,11.99,141.01,0,0,0,0,0,0,0,0,16.77,0
  5-6,8.07,31.59,0,0,0,0,0,0,0,6.17,0,0
  7-9,0,0,0,5.53,0,0,0,0,35.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,21.89,15.38,0,0
 14-21,0,0,3.91,1.83,0,0,0,0,13.09,0,0,2.98
 24-34,0,0,0,0,0,0,0.6,1.09,2.89,0,4.69,0.65
 36-46,0,0,0,0,0,0,0,0,0,0,2.15,0
 48-58,0,0,0,0,0,0.5,0.88,0,0.74,0,8.8,0.4
 60-70,0,0,0,0,0,0,1.33,0,8.32,0,0,0
 72-82,0,0,0,0,0.7,0,0,0,0,0,0,0
 84-94,0,0,0,1.01,0,0,0.67,0,0,0,4.54,0
108-118,0,0,0,0,0,0.94,0.74,0,2.49,0,1.78,0
