stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,21.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,0,0,0,22.44,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,17.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.72,0,0,0,4.55,0,0,0,3.29,0,0,0,0,0,0,0,0
 14-21,0,14.82,5.73,7.13,1.76,0,0.98,0,0,0,3.67,8.35,0,0,0,0,0,2.72,0,2.13,1.02,0,2.01,54.26,0,0,0,1.2,0,0,3.89,44.89,0,1.61,33.73,0,0,0,0,0
 24-34,0,31.17,11.14,3.59,0,0,0.95,0,0,0,18.78,10.35,3.12,0,0,0,0,15.55,0,4.94,0,0,0.61,57.14,0,0.78,0,0,0,0,0,181.22,0,0,30.37,0,0,0,0,0
 36-46,0,16.93,1.13,0,0,0,0,0,0.57,0,32.83,7.88,0,0,0,0,0,49,0.86,8.03,0,0,0.68,31.23,0.73,0,0,0,0,0,0,133.79,0,0,14.89,0,0,0,0,0
 48-58,0,10.5,0.63,4.75,0,0,6.52,0,0,4.48,27.02,20.31,0,0,0,0,0,23.25,0,6.67,0,0,1.08,36.87,0,0,0,0,0,1.05,0,95.05,0,0,6.85,0,0,0,0,1.25
 60-70,0,36.7,0,0,0,1,20.01,1.99,0,0,5.16,52.45,0,0,0,4.04,0,43.61,0,11.48,0,0,0,4.95,0.63,0,0,0,0,0,0,76.95,0,0,1.69,0.81,0,0.57,0,0
 72-82,0,81.21,1.73,3.95,0,3.74,18.02,0,1.92,0,16.5,141.9,0,0,0,0,0,68.77,0,15.57,0,0,0,44.45,0,0,0.67,0,0,0,0,82.71,0,0,0.63,1.82,0.57,0,0.53,0
 84-94,0,76.68,8.79,1.93,0,12.78,9.65,0,0,0.74,17.18,269.91,2.2,0,0,0,0.62,191.67,0,9.48,0,0,0,41.59,0,0,0,0,0,0,0,170.03,0,0,2.03,3.45,0,3.11,1.75,0
 96-106,0,92.39,15.64,9.05,7.67,2.35,12.01,0,0,0.75,4.87,418.1,0,0,1.5,0.57,0,185.64,0,13.4,0,0,0,67.62,0,1.69,0,0,1.44,5.29,0,140.26,0.64,0,3.75,6.77,0,6.12,4.34,2.03
108-118,0,76.48,17.39,11.97,0.56,15.83,6.41,0,0,0,3.68,489.89,0,1.22,0,0,0,331.36,0,14.41,0,0.94,1.97,94.05,0,3.13,0,0,0,2.71,0,134.74,1,0,0.64,6.69,0,0.93,0.57,0
120,0,48.75,0,6.6,0,18.12,15,0,1.62,0,5.04,348.66,0,0,0,2.23,0,143.11,0,17.02,0,0,3.63,75.49,0,0,0,0,0,3.29,4.99,91.02,6.22,0,0,0,0,0,0,0
