stage,epidermis,fin_mesenchyme,gut,ionocyte,mesenchyme,mucous,neural,periderm
 48-58,0,0,0,0,0.44,0.69,1.47,0
 60-70,0,0,9.41,0,0,0,0,0
 72-82,0,0,0,0,0,0.88,4.19,0
 84-94,1.39,0.74,3.73,0,0,0,0,0
 96-106,0.66,0,1.72,0,0,0,0,0
108-118,4.91,0,12.3,5.06,0,0,0,2.64
120,23.03,0,3.76,0,0,0,0,0
