stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.49,698.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0
  5-6,0,147.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.21,4.8,0,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0
 10-12,0,17.19,3.24,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.53,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.95,7.27,0,0,0,0,1.17,0,0,0,0,0,0,0,0.86,0,0,0.87,42.84,0,0,0,1.39,0,0,0,1.32,0,1.88,11.86,0,0,0,0,0
 24-34,0,0,0,0.73,0,0,9.65,0,1.57,0,2.26,0,0,0,0.68,1.53,10.46,0,0,0.61,86.38,0,0.6,0,0,0,5.41,0,0,0.91,0,20.73,0,0,0,0,1.01
 36-46,0,0,0,10.7,0,0,16.38,0,0,0.75,4.02,0,0,0,0,0,4.56,0,0.71,1.38,100.12,0,0,0,0,0,6.25,0,0,0,0,26.07,0,0,4.98,0,0
 48-58,0,0,0,0,0,0,39.81,0,0.45,0,10.13,1.32,0,0.46,0,0,10.81,0,0,6.48,115.82,0,0,0.8,0,0,2.41,0,0,0,0,28.66,0,0,2.23,0,0
 60-70,0,0,0,0,0,0,68.58,1.32,0,0.87,6.91,0,0,0,0.63,0,16.16,0,1.41,1.56,128.06,0,0.99,1.23,0,8.44,7.66,0,0,0,0,22.43,0,2.94,1.71,0,0
 72-82,0,0,0,1.92,0,0,54.46,0,0,1.35,10.52,0,0,0.57,0,0,10.91,0.74,0,1.97,91.94,0,0,0.61,0,0,3.74,0,0,0,0,6.41,0,0.57,0.62,1.13,0
 84-94,0,0,0,1.91,0,0,52.51,0,0,2.88,21.08,1.19,1.19,0,0.73,1.18,14.22,0,0.68,0,78.28,0,1.41,1.78,0,0,10.75,0,0,0,0,1.01,0.71,0.88,0.64,0,0
 96-106,0,0,0,3.6,0,0,14.02,0,0,0,2.96,1.48,0,0.56,8.45,0,23.84,0,0,0,64.74,0,0.71,6.65,0,0,8.3,0,0,0,0,5.32,0,0,1.94,0,0
108-118,0,0,0,0.45,0.75,1.02,24.64,0,0,0.73,7.07,0.57,2.45,0.52,0.47,0.76,9.23,0,0,1.86,39.48,0,3.02,4.08,0,1.55,3.69,0,0,0,0,1.92,0,0,2,0,0
120,0,0,0,1.4,0,0,23.27,0,0,0,8.34,0,7.08,0,0,0,7.17,0,0,3.6,42.92,0,13.69,1.47,0,0,9.16,0,0,0,0,0,0,0,5.55,0,0
