stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.58,210.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.36,176.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.8,29.39,7.3,0,0,13.3,0,0,0,0,0,18.49,0,0,0,0,0,0,117.27,0,0,0,33.67,0,0,5.74,0,0,0,0,0,0,0,0
 10-12,0,0,7.99,0,0,3.23,0,0,0,0,0,4.67,0,0,0,0,0,0,137.62,0,0,0,57.16,0,0,0,0,8.87,0,0,0,0,0,0
 14-21,0,0,0,1.02,0.87,1.81,0,0,0,1.09,0,0,0,0,0,0,2.21,4.94,29.3,0.94,0,0,0,0,0,0,2.28,0,0.85,10.33,0,0,0,0
 24-34,0,0,0,0,0,6.46,0,0.81,0,0,0,0,0,0,0,0,8.72,4.82,82.05,0,0,0,0,0,0,0,0,0,1.24,16.87,0,0,0,0
 36-46,0,0,0,0,0,9.38,0,0,0,1.58,0,0,0,0,0,0,12.78,0.62,85.13,0,0,1.85,0,0,0,0,0,0,0,25.66,0,0.68,0,0
 48-58,0,0,0,0,0,14.19,0,0,0,8.46,0,0,0,0,0,0,6.24,1.43,48.83,0,0,0,0,0.59,0,0,0,0,0,14.35,0,0,0,0
 60-70,0,0,0,0,0,40.98,0,0,0,5.3,0,0,0,0.81,0,0,21.45,1.58,43.2,0,0,0,0,0,1.01,0,0,0,0,29.97,0,1.41,0,0
 72-82,0,0,0,0.52,1.58,13.12,0,2.07,0,2.4,1.45,0,0,0,2.17,0,12.23,0.77,17.51,0,0,4.15,0,0,0,0,0,0,0,1.09,0,1.92,0,0
 84-94,0,0,0,1.79,0,6.36,0,0,1.13,3.32,0,0,0,0,0,0,2.35,0,23.8,0,0,3.03,0,0,0,0,0,0,0,6.96,1.13,0,0,0
 96-106,0,0,0,0.88,0,4.98,0.9,0,0,16.37,0,0,1.56,0,0,0,6.98,1.08,20.1,0,0.69,0.64,0,0,4.55,0,0,0,0,0,0,0,1.22,0
108-118,0,0,0,1.51,6.53,8.06,0,0,0,2.15,0,0,0,0,0,1.68,1.81,3.44,22.21,0.6,0,0,0,0,0,0,0,0,0,8.44,0,2.85,0,1.39
120,0,0,0,3.08,0,0,0,0,0,9.91,0,0,0,0,0,0,2.16,0,26.98,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0
