stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,165.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,113.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.76,0,3.37,0,0,20.99,0,0,0,0,0,0,0,0,0,0,81.88,0,0,46.51,0,0,0,0,0,0
 10-12,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,88.45,3.16,0,28,0,0,0,0,0,0
 14-21,0,0,0,1.81,0,0,0,0,1.06,0,0,0,0,1.32,0,0,8.62,0,0,0.88,0,3.89,0.9,6.23,0,0
 24-34,0,0,0,0,0,1.45,0,0,2.4,0,0.89,0,1.38,2.91,0,2.36,24.26,0,0.68,0,0,0,0,11.96,2.84,0
 36-46,0,0,0,0,0,1.47,14.75,0,0,0,0,0,0,0,0.8,0,39.28,0,0,0,2,0,0,12.74,0,0
 48-58,0,0,0,0.57,0,3.79,0.39,0,1.59,0,0,0,0,2.68,0,0.45,26.4,0,0,0,0.38,0,0,0.93,0,0
 60-70,0,0,0,0,0,4.88,0,0,0,0.76,0,0,0,0.89,0,0,12.9,0,0,0,0,0,0,2.14,0,0
 72-82,0,0,0,0,0,7.67,0,0,2.15,0,0,0,0,1.62,1.09,0,3.78,0,0,0,0,0,0,3.46,0,0.89
 84-94,0,0,0,0,0,4.07,0,5.28,1.47,0,0.73,0,0,2.65,0,0,14.01,0,0,0,0.97,0,0,0,1,0
 96-106,0,0,0,0,0,2.65,0,0,0,0,0,0,0,0,0.94,0,2.72,0,0,0,2.93,0,0,0,0,0
108-118,0,0,0,0.62,0,1.4,0,0.77,2.97,0,0,0.43,0,2.72,1.84,1.05,21.65,0,0,0,1.28,0,0,0,5.04,0
120,0,0,0,0,0,14.32,0,0,2.47,0,0,0,0,0,0,0,8.71,0,0,0,0,0,0,0,0,0
