stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.89,0.82,0,9.54,0,0,0,0,0,3.58,0,0,0,0,0,0,1.77,0,0,32.43,63.62,0,0,0,0,0,1.42,0,0,564.29,196.07,14.45,0,0,0,0,0
 24-34,0,0,2.74,0.81,0,28.51,34.11,0,0,1.52,0,25.61,0,0,0,0,0,0,8.21,0.87,0,59.9,342.4,0.62,2.68,1.57,0,0,0.69,0,0,139.9,41.56,57.85,0,0,12.26,0,0
 36-46,0,0,0.94,0,0,18.52,90.84,0,0,3.86,0,5.1,0,0,0,0,0,0,6.11,0,1.72,15.08,835.56,12.5,1.23,2.6,0,0,5.31,0,1.82,151.39,3.27,142.04,0,0,0.89,0,0.56
 48-58,0,0,7.35,0,0,127.69,70.7,0,0.4,14.66,1.51,7.35,0.96,0,0,0,1.47,0,32.2,0.74,0,20.48,1451.22,8.31,1.08,1.07,0,0,0.79,0,0,114.16,0,280.27,0,0.51,0.39,0,13.27
 60-70,0,0,14.71,4.71,0,250.36,84.9,4.69,1.98,17.85,0,2.47,0,0,1.16,0,0,0,33.63,2.49,11.35,11.18,1754.93,0,0,2.92,1.62,1.08,1.6,0,0,88.23,0,340.48,0,6.41,0,3.43,6.38
 72-82,0,0,11.04,4.52,0,329.95,74.34,1.27,0.93,41.46,1.38,2.54,0,0,0,0.86,1.54,0,37.46,0.93,7.83,12.85,2087.75,0.73,11.28,8.59,0,2.23,0,0,0,33.08,0,331.89,1.94,13.54,2.85,8.2,10.8
 84-94,0,1.7,17.62,24.62,0,308.68,79.56,0,0,27.6,2.67,4.19,0,1.76,3.67,0,0.68,0,28.86,0,4.43,23.9,1551.78,0,1.21,4.23,0,0.77,8.55,0,1.07,49.94,0,247.54,0.9,7.27,0.92,19.47,0
 96-106,0,0,22.77,7.11,0,281.94,139.95,7.08,0,40.87,4.09,0.88,1.94,0.95,1.8,0,23.96,2.34,31.4,0.67,5.42,21.89,1359.08,0,0,0,0,14.76,27.18,0,3.31,54.42,0,140.07,0.82,7.89,6.16,12.81,0
108-118,0,0,18.79,1.56,6.28,213.66,131.89,0.43,0.75,32.12,13.8,10.15,1.1,2.45,0,0,2.81,0,24.36,0.49,7.92,47.52,1475.38,1.88,3.7,0.44,0,9.61,2.26,0,1.09,45.96,0,117.02,4.15,11.98,0,24.6,0.77
120,0,0,18.86,1.53,0,284.68,100.85,0,0,67.98,0,5.68,2.22,0,0,10.18,0,0,39.5,0,16.56,20.24,2121.01,0,0,2.45,0,0,4.56,1.12,2.89,20.17,0,119.51,2.31,10.44,15.21,29.32,0
