stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0,7.32,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,48.12,0,1.39,0,0,1.97,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,11.05,0,0,0,0,0,0,0,0,68.81,0,1.65,0,0,0,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.76,0,0,0,21.06,0,0.79,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.54,0,3.27,0,0,0,27.56,0,0,0,0,0,0.73,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,15.08,0,0,0,0,0,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81,0,0.57,0,0,0
 72-82,0,0,0,0,1.92,0,0,22.19,0,0,0,0,0,94.76,0,3.15,0,0.49,0,15.8,0,0,0,0,0.71,0.79,0,0,3.66,0,2.41,0,3.51,0
 84-94,0,0,0,0,5.43,0,0,26.06,0,0,0,0,0,135.86,0,1.25,0,3.89,0,9.65,0,0,0,0,0,0,0.74,0,0,0,0,0,3.18,0
 96-106,0.95,0.77,12.23,3.58,25.03,0,0.84,12.98,0,0,0.67,8.38,1.71,751.79,0,34.42,0,7.71,0.66,87.81,1.48,3.42,5.15,0,0,8.03,2.15,0,0.67,0.59,1.03,2.05,6.68,0
108-118,0,4,6.25,5.36,37.01,0.5,3.52,15.3,2.33,0,3.41,0,2.47,2354.28,0.72,15.75,4.07,2.47,0.56,141.32,0,0,0.98,0,0,15.08,0.99,1.12,1.9,0,0,3.74,3.61,3.25
120,0,13.56,8.6,0,33.49,0,7.36,10,1.94,0,0,0,0,958.14,0,16.05,0,13.66,1.01,94.41,0,0,0,0,0,4.02,0,0,0,6,8.96,0,9.33,0
