stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,19.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.81,0,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.46,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.3,57.24,1.63,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,32.85,0,0,31.24,12.63,21.8,0.89,0,0,0,1.32,2.84,0,1.16,14.34,9.43,0,0,0,0,0
 24-34,0,0,0.67,243.42,0,0,17.9,0,10.39,0,1.02,0.61,3.96,0,0,0,0.68,0,0,300.8,0.67,0,92.41,72.42,289.6,0,0,0,7.03,0.64,0,0.7,0,2.93,49.72,0,0,0.62,0,0
 36-46,8.46,0,0,237.36,2.92,0,18.2,0.88,11.32,5.04,8.51,0,8.42,0,10.34,0,0.71,0,6.3,734.11,4.26,8.92,153.37,114.85,226.32,3.23,1.35,0,1.94,0,0,1.31,1.48,0,140.2,0,0.62,5.28,0,0
 48-58,0.77,0,0,235.92,0,0,40.1,0.66,28.36,8.18,9.57,0,24.81,0,0,6.97,0.39,8.5,0,844.37,0,19.82,99.1,109.5,255.36,0,0.95,0,1.09,1.83,0,0,0,0,125.3,0,1.03,1.87,0.9,4.94
 60-70,0.64,0,0,316.6,0,0,59.26,0,72.75,11.91,9.68,0,50.53,0,0,0,0,12.27,6.42,1098.38,5.15,39.79,133.92,63.2,131.88,0.89,4.58,0,2.63,5.88,0,0,1.24,0,27.62,0,33.02,1.82,10.57,0
 72-82,0,0,0,164.01,3.37,0,59.3,0,24.33,13.76,10.22,0.85,46.24,1.42,0,0,0.53,0,0,1229.52,3.05,15.25,109.37,158.03,37.02,1.47,2.64,0,9.92,0.7,0,1.23,0,0,39.29,0,25.86,4.79,28.81,5.15
 84-94,2.46,0,0,350.63,0,0,57.67,0,49.02,5.76,6.08,0,22.73,0,0,1.92,0,0.62,4.77,987.31,0.58,26.23,98.48,57.55,65.48,1.32,3.99,0,3.32,8.29,0,0,0,0,20.84,0,28.88,1.23,22.18,0
 96-106,1.12,0,0,355.3,17.46,0,98.13,0,89.41,59.66,32.09,8.45,60.49,1.87,2.51,0,0.79,3.12,7.05,1302.26,5.26,82.63,131.33,117.29,20.98,4.37,12.18,0,6.61,14.72,0,3.51,0,0,14.1,0,22.23,21.08,33.19,1.22
108-118,0,0,0.98,540.96,1.06,2.32,97.35,0.5,183.36,15.04,21.85,1.96,23.22,6.22,1.83,3.21,0.43,8.22,0,1532.38,3.13,24.75,95.41,128.8,26.73,4.64,18.74,0,13.29,9.2,0,0,0,0,9.53,1.13,39.45,1.45,21.72,0.91
120,2.37,0,0,248.5,0,0,38.47,0,53.65,1.98,9.44,0,98.65,0,0,0,0,0,0,1092.1,4.87,34.05,94.22,161.15,45.78,2.34,29.09,0,26.83,8.06,0,0,0,0,15.29,0,25.33,0,26.41,0
