stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature
  5-6,27.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.95,0,0,0,0,0,0,0,3.37,0,0,9.09,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,10.47,0,0,0,0,0,0,0
 14-21,0,0,1.47,0.92,0,0,0,0,0,5.12,0,0,0,0,0,1.13,0
 24-34,0,0,0,0,0.8,0,0,1.8,1.62,19.88,0,0,0,0,2.34,2.21,0.85
 36-46,0,0,0,0,0,0,0,0,0,5.08,0,0,0,0,0,2.54,0
 48-58,0,0,0,0,1.29,1.82,0,1.03,0.4,6.52,1.09,0.48,0,8.09,0,5.11,0
 60-70,0,0,0,0,2.19,0,0,0,5.69,10.29,0,0,0,3.79,0,4.67,0
 72-82,0,0,0,0,0.6,1.97,0.53,5.54,0,10.43,0,0,0,0,0,0,0.96
 84-94,0,0,0.75,0,0,1.76,0,0.82,0,6.18,0,0,0,0.89,0,0,1.29
 96-106,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0
108-118,0,0,0,0,3.04,0.76,0,0,0,0,0,0,0,0.81,0,0,0
120,0,0,0,0,9.78,0,0,0,0,2.18,0,0,0,0,0,0,0
