stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,360.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.01,0,0,0,0,0,0
  5-6,33.45,422.28,0,0,0,0,0,0,11.32,0,0,0,47.95,0,0,0,19.52,0,0,0,0,0,0,0
  7-9,3.28,5.92,9.53,0,0,22.93,0,0,0,0,0,0,180.98,19.1,0,0,109.02,0,0,0,0,0,0,0
 10-12,0,7.57,6.43,0,0,16.28,0,0,0,0,0,0,247.68,0,0,0,79.34,0,0,6.66,0,5.09,0,0
 14-21,0,0,0,0.98,3.88,1.09,3.26,0,0,0,4.56,0,47,1.9,0,0.98,3.54,0,2.66,0.81,3.21,18.57,0,0
 24-34,0,0,0,0,0,6.03,0.63,0.71,0,0,3.95,1.59,113.98,0,1.94,0,0,0.75,0,0,0.6,23.06,1.82,0
 36-46,0,0,0,0,0,16.41,2.03,0,0,0,4.26,2.45,66.28,0,0,0,0,0,0,0,0,17.11,0,0
 48-58,0,0,0,0,0,21.15,0.99,0,0,0,6.07,0.82,36.91,0,0,0,0,0,0,0,0,7.45,0,0
 60-70,0,0,0,0,0,17.68,0.63,0,0,0,4.92,0,16.59,0,0,0,0,0,0,0,0,0,0,2.72
 72-82,0,0,0,0.6,0,3.81,0.52,0,0,0,1.71,1.89,11.92,0,0,0,0,0,0,0,0,3.18,0,0
 84-94,0,0,0,0,0,4.79,0.92,2.03,0,0,13.79,0,8.02,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.99,3.24,0.72,0.81,0,0,0.68,2.76,7.24,0,2.09,0,0,0,0,0,0,0,1.38,0
108-118,0,0,0,0,0.41,0.93,1.89,0,0,1.7,1.84,1.74,12.48,0,0,0,0,0,0,0,0,3.85,0,0
120,0,0,0,1.48,2.66,1.31,0,0,0,0,0,0,13.16,0,0,5.44,0,0,0,0,0,0,0,0
