stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,68.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.33,0,0,0,0,0,0,0,0,0,0
  5-6,25.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.14,0,0,0,41.45,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.4,0,0,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.88,7.91,0,0,65.93,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.39,0,5.72,0,0.83,0,0,0,1.03,0.93,0,0,0,0,0,12.51,0,0,3.2,35.38,0,8.8,0,0.87,0,0,4.16,0,0,11.31,12.02,0,0,0,0,0
 24-34,0,0,1.36,7.9,0,7.82,1.1,0,4.26,0,0,0,0,0.64,0,1.1,10.56,0,1.52,5.18,385,0,17.42,1.37,0,0,6.94,0,5.14,0,0.81,103.03,0,0,0,0,0
 36-46,0,0,0,36.7,0,31.37,0,0,4.31,0,1.05,0,0.93,7.83,0.95,0,4.84,0,0,1.62,780.34,0,16.34,1.89,0,0,8.5,0,0.58,0,0,124.18,0,0,0,0,0
 48-58,0,0,0,7.69,0,128.13,0.74,1.43,8.45,0,0,0,0,6.3,0,0,19.19,0,0.39,0.45,1038.18,0,21.43,0.46,0,0,1.42,0,11.26,0,0,132.49,0,0,0,0,0
 60-70,0,0,0,9.68,0,265.02,0,0.77,24.9,0,1.58,0,0.58,0,0,0,18.21,1.53,0,0,1675.79,1.63,6.8,0,0,0,5.18,0,8.01,0,0,140.08,0,0,0,0,0
 72-82,0,3.5,0,8.31,0.95,230.03,0,5.09,18.35,0,0,4.56,0,5.12,1.09,0.78,25.6,0,0,0,1237.2,0,18.69,5.48,0,0,3.61,0,0,2.66,0,109.96,2.91,1.23,5.85,3.56,0
 84-94,0,3.77,0,21.06,4.77,228.82,0,0.75,9.24,1.12,0.79,0,1.53,0,1.62,1.41,26.75,0,9.25,0.75,858.84,0,1.05,0,0,0,1.28,0,0,0,0,70.04,1.81,0,3,1.13,0
 96-106,0,3.46,0,7.43,0,132.38,0,0,4.34,0.8,1.97,1.56,0.93,0,1.29,20.02,21.74,0,0,1.1,639.36,0,5.36,1.19,0,0,5.8,0,1.56,0,0,22.99,3.22,0,1.8,0,2.56
108-118,0,0,0,11.49,2.7,164.84,2.29,0,15.32,3,2.18,1.09,0.43,2.46,0,0,17.39,0,1.16,4.54,785.49,0.52,8.75,2.43,0,0,9.14,0,1.03,0.44,0,30.25,6.21,0,0.56,1.11,1.42
120,0,0,0,14.11,0,338.45,0,0,8.78,4,4.47,0,1.29,0,0,0,65.87,0,0,0,1911.78,0,6.9,14.75,0,19.8,5.39,0,3.15,0,0,59.46,2.83,0,0,0,0
