stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.27,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.09,0,0,0,0,0,0,0,0,0,1.23,0,6.85,5.96,0,0,0,0,0,5.92,0,0,0,0
 24-34,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0.72,67.86,0,0.65,0,0,0,0.65,18.85,0,1.54,0,0
 36-46,0,0,0,0,1.99,0,0,0,0,0,0,0,0.73,0.74,163.73,0,4.04,0,0,0,0,40.75,0,0,0,0
 48-58,0,0.54,0,0,31.49,0,0,7.49,0,0,0,0,12.13,0,326.16,0,0,0,0,0,0,47.08,0,0,0,0
 60-70,0,0,1.71,0,48.64,2.24,0,15.65,0.62,0,0,0,1.96,0,541.65,0,0,1.01,0,0,0,67.43,0,0,0,0
 72-82,0,0,0,2.7,76.79,4.54,0,5.15,0,2.57,0,0,5.86,0,547.18,0,3.94,1.24,0,0,1.18,25.03,0,0,0.76,0
 84-94,0,0,0.98,3.23,60.58,0.66,0.83,7.12,0,0,1.52,0.58,12.39,0,339.84,0,0,2.14,0,0,0,12.68,2.66,0,0,0
 96-106,0,0,0.68,0,44.53,0,0,3.11,0,0.95,0,0,3.8,0,346.41,0,1.43,3.62,2.69,1.56,0.61,9.45,2.7,0,0,0
108-118,0,0,2.22,0,42.33,0,0,13.75,0,0,0,0,8,0.93,369.02,0,0.6,3.39,0,7.5,0,4.32,0,0,0.61,6.96
120,0,0,1.8,0,46.61,0,0,13.3,0,0,0,0,5.15,3.33,660.12,0,0,0,0,0,11.15,39.65,0,0,0,0
