stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,hatching.gland,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,27.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.17,142.32,8.02,0,0,0,0,0,0,0,52.21,0,0,17.56,0,0,0,0,0
  7-9,5.66,0,13.58,0,3.62,0,0,11.91,0,0,92.85,20.96,0,114.67,0,0,0,0,0
 10-12,0,0,6.99,0,0,0,0,3.85,0,0,0,0,0,56.97,0,0,5.64,0,0
 14-21,0,0,0,0.96,0,0,0,0,0,1.02,8.19,6.85,0,0,0,63.3,0,19.79,4.61
 24-34,0,0,0,1.78,0,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0.77
 36-46,0,0,0,0,0,0,0,0,1.48,0,2.05,0,0,0,0,0,0,0,1.01
 48-58,0,0,0,0,0.82,0,0,0,0.46,0,1.98,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.98,0,0.87,0,2.12,0,1.12,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0
