stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.37,814.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,111.88,1154.19,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0,0,0,0,45.49,0,0,0,17.54,7.85,0,0,0,0,0,0,0,0,0,0,0
  7-9,52.75,26.6,0,126.47,0,6.96,149.09,0,0,0,0,42.99,0,0,0,0,0,0,0,0,0,0,0,1153.92,94.84,0,0,420.12,0,20.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,69.53,0,109.53,0,4.74,168.95,0,0,0,0,4.19,0,0,0,0,0,0,0,0,0,0,0,1527.23,63.5,0,0,391.47,0,8.5,4.36,45.24,0,5.3,0,0,0,0,0,0
 14-21,0,0,0,1.3,16.81,0.88,6.48,0,0,4.87,1.91,0,0,0,0,0.87,0,0,0,10.76,0,0,11.66,140.87,4.37,0,2.51,0.97,0,0,19.15,0,0,14.46,42.32,0,0,1.62,0,0
 24-34,0,0.83,0,0,4.13,1.34,13.31,2.07,0,4.74,0.66,0,0,0,0.79,0,0,0,0,14.66,0,0,6.69,238.46,0.69,3.61,0,0,3.82,0,0,0,1.06,6.59,59.6,0,0,4.31,0,6.13
 36-46,0,0,0,0,1.63,0.88,17.29,0,0,6.46,0,0,1.28,0,0,0,0,0,0,21.35,0,0,3.61,260.56,1.52,1.9,0.63,0,3.41,0,0,0,0,0,49.38,0,0,4.23,0,0
 48-58,0,0,0.94,0,7.4,0,57.95,0,0,9.19,0.39,0,0.45,0,0,0,0.45,0,0,23.05,0,0.69,8.14,169.24,0,1.41,0.43,0,0,0,0,0.4,0,0,32.81,0,0,0.9,0,0
 60-70,0,0,0,0,11.37,0.73,78.61,0,0,18.8,0.62,0,0,4.43,0,0,0,0,2.53,33.58,1.02,0,8.73,137.02,2.21,0,0,0,3.27,0,0,0,0,0,23.55,0,0.94,0,0.87,0
 72-82,0,0,0.58,0.75,3.57,0,58.19,0,4.29,16.36,0.92,0,1.56,0,0,2.4,0,0,0,37.1,0,1.14,2.38,94.94,0,3.8,0,0,0.58,0,0,0,0,0,16.62,0,0,1.04,0,4
 84-94,0,0,1.46,0,4.15,7.96,57.45,0.66,0,7.87,0.97,0,0,1.02,0.68,0.62,1.3,4.41,0,31.33,0,0,3.11,82.72,0,0,0.91,0,4.64,0,0,0.62,0,0,1.19,0,0,0,2.52,0
 96-106,0,0,0,0,3.53,0,37.05,0.93,0,3.62,0.7,0,0,0,0.81,0,0,0,0,10.91,0,0,0.58,52.2,0,1.03,5.07,0,2.81,0,0,0,0,0,1.14,3,0,5.69,1.22,0
108-118,0,0,0,0,2.1,0,34.04,0,3.54,20.43,0.62,0,1.61,3.25,0,0,1.31,0,0,35.41,0.52,0,0.75,64.77,0,0,1.63,0,5.13,0,0,0,0,0,5.1,0,0,2.9,0,1.86
120,0,0,0,0,8.75,0,28.83,0,0,22.15,4,0,0,0,0,0,0,3.99,0,29.92,0,0,0,113.74,4.79,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0
