stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,110.95,2068.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.32,0,0,0,0,0,0,0,0,0
  5-6,129.44,2362.11,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0,0,57.04,0,0,0,6.56,16.44,0,0,0,0,0,0,0,0,0
  7-9,58.4,43.09,0,71,0,0,0,178.49,0,0,0,0,0,58.44,0,0,0,0,0,0,0,0,0,0,0,1431.74,60.81,0,0,548.89,0,7.62,0,0,0,0,0,0,0,0
 10-12,0,63.88,0,34.77,0,4.95,0,75.31,0,0,0,0,0,25.8,0,0,0,0,0,0,0,0,0,0,0,1330.01,22.57,0,0,477.41,0,6.79,0,50.71,6.84,0,0,0,0,0
 14-21,0,0,0,1.76,14.21,4.14,0,16.61,0,0,0,2.86,0,0.98,0,0,0.96,0,0,0,0,8.03,0,0,7.49,174.52,11.11,1.55,2.75,2.08,4.09,0,22.23,0,15.69,45.03,0,0.9,0,0
 24-34,0,0,0,1.27,5.22,0,0,25.84,0,0,0.67,6.95,0,0.67,2.16,2.35,0.72,0.82,0.79,0,0,7.52,0,0,6.3,279.51,0,2.73,2.1,0,3.7,0,2.44,0.72,2.71,52.45,0,4.74,0,4.97
 36-46,0,0,0,0,1.79,0,0,91.54,0,0.74,0,23.36,0.56,0,0,0,0,14.87,0.66,4.33,2.61,23.58,8.3,0,6.73,484.6,0,3.98,5.53,0,2.49,0,0,2.15,0,73.62,0,2.38,0.78,4.34
 48-58,0,0,0.44,0,0.54,0.39,0,144.69,0,0.41,0.49,29.34,0,0,1.06,0,0,0,0.58,0.97,1.15,44.02,0.42,1.59,8.41,428.33,0,1.72,0,0,1.19,0,0,1.34,0,82.34,0,1.02,0,8.83
 60-70,0,0,0,0,6.02,1.5,0,164.99,1.88,1.12,4.95,21.38,0,0,0,6.21,0.61,0,0.59,0,0,39.71,0,8.87,5.97,374.13,6.77,0,0.72,0,6.99,0,1.38,0,0,21.57,0,3.17,0,0
 72-82,0,0,0,0,3.81,1.02,0,132.99,0,0,0.7,16.39,0.88,0,0,0.53,0.53,0,0,1.52,1.79,63.63,2.43,2.98,2.38,303.36,0,1.37,3.35,0,2.36,0,0,0,0,13.78,0,2.99,0.54,0
 84-94,0,0,0.84,0,2.19,2.99,8.78,98.26,0,0.55,0,19.44,2.47,0,0,0,0,0.73,1.91,0,0.86,29.27,0,1.58,4.46,156.19,0,0,2.44,0,6.93,0,0,0,0,7.66,0,5.64,2.35,4.35
 96-106,0,0,0,0,1.22,3.18,0,76.96,0,0,1.27,14.1,0,0,0.96,1.65,3.41,2.56,0.78,7.56,0,36.08,0,0.8,2.44,121.33,0.79,2.82,0,0,13.51,0,0,0,0,2.91,0.8,3.19,2.02,0
108-118,0,0,0.55,0,6.17,9.66,1.78,69.79,0,1.18,2.94,15.66,1.28,0,0,0,0,0,0,2.21,0,19.25,0,1.52,0,124.13,3.13,1.44,0.42,0,6.13,0,0,0.97,0,4.81,3.27,5.47,0.5,0
120,0,0,0,0,15.06,5.66,0,52.62,2.98,0,0,16.85,1.02,0,0,7.63,3.52,1.43,0,7.65,0,27.52,0,0,4.64,134,0,0,0,0,14.78,0,0,0,0,0,0,2.67,0,0
