stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,10.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73,0,0,0,3.55,0,0,0,0,0,0,0,0,0
 10-12,0,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.69,0,0,0,7.85,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,38.87,0,0,0,0,0,0,0,0,20.6,0,0,0,1.16,0,0,0,2.79,5.42,0.9,0,0,0,0.89,2.12,0,0,0,3.37,0,1.94,0
 24-34,0,0,1.77,0.69,0,16.61,0,0,0,0,0,0,65.22,0,0.64,0,0,4.42,0,2.05,0,26.44,0,0.95,1.03,0,2.03,0,0,0,0.69,3.7,0,8.81,10.69
 36-46,0,0,5.18,0,0,7.71,0,0,0,0,0,0,123.32,0,0.61,0,0,10.32,0,2.15,0,12.3,0,0,1.63,0,2.23,0,0,0.74,0,1.9,0,4.52,12.89
 48-58,0,0.43,0.82,0,0,8.56,0,1.12,1.08,0,0,0,99.49,0,0,0,0,8.67,0,0,0,21.77,0,0,0,0,0,0,0,1.63,0,2.78,0,4.43,6.64
 60-70,0,1.53,0,0,0,26.14,0,0.86,3.36,0,0,0,92.82,0,3.56,1.4,0,0.72,0,0,0,26.58,0,0,7.5,0,0,0,1.54,0,0,4.71,0.84,0.68,2.21
 72-82,0,1.91,0.78,0,0,22.22,2.26,0,3.13,0.97,1.34,0.89,129.79,0.7,0,0,0,0,3.87,0,0.71,23.43,0,0,2.45,0,0.7,0,0,0,0,0,1.43,4.5,26.6
 84-94,0,1,1.19,0,0.96,16.49,0,0.83,2.59,0,0.88,0.8,125.52,1.68,1.49,1.03,0,3.81,10.23,0,1.08,17.66,0,0,1.9,0,3.18,0,0,0,0,1.85,0,1.77,2.72
 96-106,0,1.95,0,0,0,8.02,0,3.54,4.94,0,0,0,71.36,0,0,0,0.99,7.92,3.12,0,0,18.29,0,0,0.82,0,0.68,0,0.69,0,0,0,0,3.32,0
108-118,0,3.45,7.08,0,0.45,6.81,0,2.56,3.56,2.17,0,0,108.62,0,0.49,0.63,0.6,1.18,8.74,0,0,7.29,0,0,0,0,0,0,1.07,0,0,0.47,0,14.78,0
120,0,3.83,3.22,0,0,24.81,3.43,0,6.07,0,0,3.24,160.82,0,0,0,15.98,1.54,11.55,0,0,77.12,0,0,0,0,3.11,0,0,0,0,1.19,0,5.14,0
